,RMSD,P-VALUE,INF-ALL,INF-WC,INF-NWC,INF-STACK,DI,MCQ,TM-score,CAD,BARNABA-RMSD,BARNABA-eRMSD,BARNABA-eSCORE,CLASH,GDT-TS,GDT-TS@1,GDT-TS@2,GDT-TS@4,GDT-TS@8,lDDT
normalized_simrna_rp11.pdb,4.154,0.0,0.785,0.977,,0.713,5.292,20.14,0.386,0.827,0.423,1.131,1.748,0.0,0.531,0.14,0.316,0.667,1.0,0.021
normalized_isrna_rp11.pdb,4.297,0.0,0.862,0.956,,0.809,4.985,18.07,0.385,0.791,0.447,1.11,1.683,0.0,0.526,0.14,0.351,0.649,0.965,0.604
normalized_vfoldpipeline_rp11.pdb,4.654,0.0,0.869,0.952,,0.835,5.358,15.21,0.473,0.847,0.448,0.946,2.37,0.0,0.61,0.316,0.474,0.719,0.93,0.751
normalized_mcsym_rp11_5.pdb,4.659,0.0,0.832,0.977,,0.758,5.602,32.36,0.31,0.779,0.494,1.179,1.62,0.0,0.469,0.105,0.263,0.526,0.983,0.017
normalized_best_rp11_6.pdb,4.799,0.0,0.85,0.951,,0.806,5.649,20.58,0.385,0.796,0.491,1.069,1.724,0.0,0.517,0.193,0.316,0.579,0.983,0.601
normalized_best_rp11_1.pdb,5.247,0.0,0.847,0.935,,0.798,6.198,17.78,0.316,0.805,0.518,1.095,2.018,0.0,0.465,0.14,0.246,0.526,0.947,0.605
normalized_mcsym_rp11_3.pdb,5.344,0.0,0.825,0.977,,0.758,6.478,31.99,0.302,0.795,0.537,1.164,1.516,0.0,0.474,0.123,0.246,0.597,0.93,0.021
normalized_best_rp11_8.pdb,5.403,0.0,0.832,0.847,,0.824,6.498,19.97,0.396,0.811,0.567,1.156,1.395,0.0,0.5,0.158,0.351,0.579,0.912,0.581
normalized_best_rp11_9.pdb,5.476,0.0,0.838,0.976,,0.775,6.532,22.4,0.382,0.808,0.56,1.065,1.759,0.0,0.5,0.175,0.298,0.561,0.965,0.643
normalized_best_rp11_38.pdb,5.486,0.0,0.849,0.956,,0.829,6.462,17.72,0.294,0.824,0.571,1.078,1.953,0.0,0.474,0.14,0.281,0.561,0.912,0.545
normalized_best_rp11_18.pdb,5.537,0.0,0.837,0.9,,0.817,6.619,18.2,0.334,0.811,0.569,1.218,1.164,0.0,0.447,0.158,0.298,0.456,0.877,0.589
normalized_rhofold_rp11.pdb,5.985,5.551115123125783e-17,0.783,0.917,,0.696,7.645,43.61,0.349,0.822,0.625,0.978,1.514,0.0,0.443,0.123,0.246,0.614,0.789,0.604
normalized_best_rp11_49.pdb,6.168,1.6653345369377348e-16,0.823,0.935,,0.773,7.492,18.37,0.276,0.809,0.656,1.154,2.037,0.0,0.404,0.14,0.246,0.421,0.807,0.638
normalized_best_rp11_27.pdb,6.214,1.6653345369377348e-16,0.768,0.873,,0.731,8.093,18.57,0.36,0.798,0.661,1.333,1.195,0.0,0.425,0.14,0.298,0.439,0.825,0.497
normalized_mcsym_rp11_1.pdb,6.305,2.7755575615628914e-16,0.808,0.977,,0.731,7.803,28.35,0.275,0.785,0.642,1.039,1.533,0.0,0.412,0.14,0.228,0.439,0.842,0.009
normalized_best_rp11_23.pdb,6.321,2.7755575615628914e-16,0.794,0.91,,0.775,7.96,20.49,0.26,0.809,0.663,1.145,1.852,0.0,0.43,0.14,0.298,0.474,0.807,0.555
normalized_best_rp11_24.pdb,6.372,3.885780586188048e-16,0.742,0.927,,0.667,8.59,24.08,0.301,0.747,0.667,1.343,0.913,0.0,0.395,0.123,0.246,0.421,0.789,0.552
normalized_best_rp11_34.pdb,6.393,4.440892098500626e-16,0.796,0.977,,0.74,8.036,20.33,0.275,0.809,0.691,1.028,2.02,0.0,0.417,0.158,0.246,0.439,0.825,0.572
normalized_best_rp11_12.pdb,6.404,4.440892098500626e-16,0.804,0.93,,0.731,7.963,23.32,0.29,0.799,0.654,1.158,1.349,0.0,0.421,0.193,0.281,0.404,0.807,0.618
normalized_best_rp11_10.pdb,6.411,4.440892098500626e-16,0.73,0.818,,0.706,8.785,21.1,0.305,0.783,0.644,1.346,1.057,0.0,0.482,0.158,0.351,0.526,0.895,0.597
normalized_3drna_rp11_4.pdb,6.467,6.106226635438361e-16,0.835,0.956,,0.785,7.743,22.16,0.311,0.779,0.661,1.218,1.638,0.0,0.443,0.14,0.281,0.561,0.789,0.601
normalized_best_rp11_51.pdb,6.512,7.216449660063518e-16,0.776,0.977,,0.676,8.389,25.56,0.346,0.783,0.664,1.243,1.232,0.0,0.443,0.158,0.281,0.509,0.825,0.588
normalized_best_rp11_17.pdb,6.518,7.216449660063518e-16,0.752,0.816,,0.725,8.664,22.37,0.284,0.774,0.662,1.338,0.908,0.0,0.443,0.158,0.281,0.439,0.895,0.474
normalized_best_rp11_21.pdb,6.584,9.992007221626409e-16,0.829,0.935,,0.785,7.944,16.47,0.317,0.805,0.702,1.208,1.777,0.0,0.434,0.158,0.263,0.509,0.807,0.554
normalized_best_rp11_19.pdb,6.628,1.2212453270876722e-15,0.809,0.935,,0.764,8.195,16.5,0.263,0.819,0.756,1.124,1.839,0.0,0.395,0.14,0.228,0.439,0.772,0.635
normalized_best_rp11_22.pdb,6.696,1.609823385706477e-15,0.807,0.823,,0.812,8.296,18.24,0.327,0.802,0.706,1.215,1.165,0.0,0.417,0.158,0.316,0.491,0.702,0.558
normalized_best_rp11_46.pdb,6.731,1.887379141862766e-15,0.803,0.956,,0.748,8.38,18.79,0.375,0.79,0.686,1.194,2.2,0.0,0.417,0.158,0.281,0.456,0.772,0.62
normalized_mcsym_rp11_4.pdb,6.867,3.497202527569243e-15,0.787,0.927,,0.731,8.725,30.17,0.298,0.785,0.699,1.24,1.589,0.0,0.425,0.123,0.263,0.526,0.789,0.071
normalized_mcsym_rp11_2.pdb,6.97,5.440092820663267e-15,0.821,0.977,,0.731,8.487,33.09,0.35,0.76,0.73,1.212,1.553,0.0,0.404,0.14,0.228,0.474,0.772,0.018
normalized_best_rp11_5.pdb,7.086,9.048317650695026e-15,0.835,0.952,,0.778,8.486,21.01,0.309,0.8,0.737,1.095,1.907,0.0,0.399,0.158,0.298,0.404,0.737,0.624
normalized_best_rp11_32.pdb,7.295,2.2148949341271873e-14,0.843,0.956,,0.799,8.657,16.93,0.242,0.81,0.776,1.09,1.888,0.0,0.377,0.158,0.21,0.386,0.754,0.567
normalized_best_rp11_25.pdb,7.308,2.348121697082206e-14,0.786,0.977,,0.687,9.302,22.94,0.287,0.762,0.742,1.176,0.87,0.0,0.404,0.123,0.246,0.456,0.789,0.578
normalized_best_rp11_28.pdb,7.343,2.7200464103316335e-14,0.718,0.791,,0.713,10.222,20.49,0.291,0.782,0.768,1.234,1.697,0.0,0.399,0.14,0.263,0.474,0.719,0.518
normalized_best_rp11_53.pdb,7.365,2.980948821118545e-14,0.746,0.774,,0.736,9.87,16.92,0.319,0.756,0.775,1.441,1.857,0.0,0.373,0.14,0.246,0.404,0.702,0.556
normalized_best_rp11_41.pdb,7.495,5.162537064506978e-14,0.778,0.977,,0.731,9.635,18.44,0.273,0.809,0.81,1.172,1.904,0.0,0.404,0.123,0.263,0.491,0.737,0.572
normalized_best_rp11_26.pdb,7.6,8.038014698286133e-14,0.793,0.891,,0.773,9.585,18.05,0.248,0.831,0.818,1.101,1.859,0.0,0.408,0.158,0.263,0.439,0.772,0.552
normalized_best_rp11_47.pdb,7.725,1.3472556403826275e-13,0.715,0.667,,0.75,10.81,20.21,0.293,0.752,0.812,1.424,1.685,0.0,0.329,0.123,0.193,0.386,0.614,0.549
normalized_best_rp11_31.pdb,7.73,1.379452108096757e-13,0.843,0.956,,0.809,9.174,17.83,0.253,0.791,0.806,1.14,1.881,0.0,0.36,0.14,0.21,0.368,0.719,0.586
normalized_trrosettarna_rp11_1.pdb,7.839,2.153277556260491e-13,0.624,0.845,,0.53,12.569,32.16,0.301,0.795,0.801,1.512,1.477,0.0,0.43,0.175,0.333,0.491,0.719,0.604
normalized_alphafold3_rp11_1.pdb,7.881,2.561284517810236e-13,0.818,0.956,,0.748,9.629,17.37,0.272,0.81,0.801,1.224,1.829,0.0,0.399,0.158,0.281,0.456,0.702,0.595
normalized_trrosettarna_rp11_2.pdb,7.884,2.5884849819135525e-13,0.679,0.873,,0.611,11.618,25.62,0.307,0.799,0.795,1.386,1.545,0.0,0.43,0.158,0.333,0.491,0.737,0.616
normalized_best_rp11_30.pdb,8.002,4.193867475521529e-13,0.816,0.935,,0.766,9.803,17.21,0.307,0.794,0.837,1.101,1.828,0.0,0.417,0.14,0.281,0.491,0.754,0.597
normalized_best_rp11_35.pdb,8.138,7.23643367450677e-13,0.75,0.847,,0.723,10.85,19.04,0.267,0.808,0.828,1.3,1.183,0.0,0.39,0.158,0.351,0.421,0.632,0.588
