,RMSD,P-VALUE,INF-ALL,INF-WC,INF-NWC,INF-STACK,DI,MCQ,TM-score,CAD,BARNABA-RMSD,BARNABA-eRMSD,BARNABA-eSCORE,CLASH,GDT-TS,GDT-TS@1,GDT-TS@2,GDT-TS@4,GDT-TS@8,lDDT
normalized_trrosettarna_rp04_1.pdb,2.192,0.0,0.668,0.782,0.577,0.633,3.284,30.69,0.876,0.857,0.208,1.256,2.254,0.0,0.819,0.452,0.849,0.976,1.0,0.741
normalized_trrosettarna_rp04_2.pdb,2.463,0.0,0.711,0.811,0.258,0.708,3.467,31.17,0.873,0.865,0.211,1.186,2.205,0.0,0.814,0.444,0.825,0.984,1.0,0.73
normalized_alphafold3_rp04_2.pdb,2.582,0.0,0.917,0.989,0.612,0.9,2.816,13.82,0.813,0.924,0.265,0.47,3.271,0.0,0.8,0.571,0.698,0.929,1.0,0.86
normalized_alphafold3_rp04_3.pdb,2.642,0.0,0.908,0.989,0.548,0.89,2.911,14.2,0.804,0.923,0.27,0.47,3.272,0.0,0.788,0.532,0.691,0.929,1.0,0.893
normalized_alphafold3_rp04_4.pdb,2.848,0.0,0.915,0.989,0.73,0.892,3.114,13.93,0.786,0.922,0.293,0.471,3.268,0.0,0.784,0.532,0.682,0.921,1.0,0.836
normalized_alphafold3_rp04_1.pdb,2.887,0.0,0.914,0.989,0.612,0.896,3.159,14.41,0.792,0.922,0.297,0.474,3.281,0.0,0.778,0.54,0.675,0.897,1.0,0.809
normalized_alphafold3_rp04_5.pdb,2.892,0.0,0.914,0.989,0.612,0.896,3.165,14.2,0.793,0.922,0.297,0.474,3.261,0.0,0.786,0.548,0.691,0.905,1.0,0.794
normalized_best_rp04_14.pdb,3.352,0.0,0.922,0.989,0.68,0.91,3.637,15.78,0.765,0.908,0.345,0.552,3.057,0.0,0.766,0.524,0.675,0.889,0.976,0.858
normalized_best_rp04_22.pdb,3.356,0.0,0.926,0.989,0.772,0.907,3.623,15.66,0.763,0.905,0.345,0.551,3.065,0.0,0.768,0.524,0.675,0.897,0.976,0.855
normalized_best_rp04_27.pdb,3.357,0.0,0.924,0.989,0.722,0.908,3.634,15.88,0.766,0.904,0.346,0.559,3.043,0.0,0.766,0.516,0.675,0.897,0.976,0.855
