,RMSD,P-VALUE,INF-ALL,INF-WC,INF-NWC,INF-STACK,DI,MCQ,TM-score,CAD,BARNABA-RMSD,BARNABA-eRMSD,BARNABA-eSCORE,CLASH,GDT-TS,GDT-TS@1,GDT-TS@2,GDT-TS@4,GDT-TS@8,lDDT
normalized_alphafold3_rp16_1.pdb,0.967,4.119897201171341e-10,0.959,1.0,0.913,0.959,1.009,6.63,0.53,,0.102,0.207,0.532,0.0,0.0,0.0,0.0,0.0,0.0,0.957
normalized_alphafold3_rp16_4.pdb,1.018,4.923880747575993e-10,0.944,1.0,0.913,0.938,1.078,5.93,0.501,,0.107,0.222,0.533,0.0,0.0,0.0,0.0,0.0,0.0,0.953
normalized_alphafold3_rp16_5.pdb,1.141,7.523049405655513e-10,0.944,1.0,0.816,0.959,1.208,6.67,0.447,,0.12,0.224,0.524,0.0,0.0,0.0,0.0,0.0,0.0,0.947
normalized_alphafold3_rp16_2.pdb,1.176,8.504695836464293e-10,0.959,1.0,0.913,0.959,1.227,5.76,0.495,,0.122,0.288,0.529,0.0,0.0,0.0,0.0,0.0,0.0,0.95
normalized_best_rp16_69.pdb,1.233,1.0318021437250025e-09,0.901,0.926,0.707,0.938,1.368,11.31,0.509,,0.121,0.455,0.404,0.0,0.0,0.0,0.0,0.0,0.0,0.879
normalized_alphafold3_rp16_3.pdb,1.244,1.0726984300823972e-09,0.959,1.0,0.913,0.959,1.298,5.87,0.503,,0.126,0.323,0.533,0.0,0.0,0.0,0.0,0.0,0.0,0.946
normalized_best_rp16_34.pdb,1.45,2.1561850083173795e-09,0.944,1.0,0.707,0.98,1.536,16.67,0.439,,0.164,0.472,0.476,0.0,0.0,0.0,0.0,0.0,0.0,0.804
normalized_best_rp16_60.pdb,1.523,2.752683359030783e-09,0.874,0.866,0.816,0.895,1.743,11.6,0.381,,0.147,0.569,0.562,0.0,0.0,0.0,0.0,0.0,0.0,0.838
normalized_best_rp16_52.pdb,1.661,4.3379017600209124e-09,0.87,1.0,0.913,0.826,1.908,13.37,0.271,,0.167,0.546,0.516,0.0,0.0,0.0,0.0,0.0,0.0,0.816
normalized_trrosettarna_rp16_1.pdb,1.677,4.567140610145515e-09,0.641,1.0,0.289,0.611,2.615,26.08,0.384,,0.142,1.315,0.411,0.0,0.0,0.0,0.0,0.0,0.0,0.713
normalized_best_rp16_17.pdb,1.688,4.744093007325034e-09,0.859,0.866,0.707,0.895,1.966,12.5,0.337,,0.176,0.552,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.831
normalized_trrosettarna_rp16_3.pdb,1.783,6.475834424257698e-09,0.39,0.707,0.309,0.358,4.571,32.08,0.423,,0.144,1.563,0.292,0.0,0.0,0.0,0.0,0.0,0.0,0.688
normalized_best_rp16_15.pdb,1.881,8.87121531789603e-09,0.756,0.913,0.471,0.776,2.487,17.42,0.303,,0.166,0.799,0.332,0.0,0.0,0.0,0.0,0.0,0.0,0.758
normalized_best_rp16_57.pdb,1.881,8.87121531789603e-09,0.756,0.913,0.471,0.776,2.487,17.42,0.303,,0.166,0.799,0.332,0.0,0.0,0.0,0.0,0.0,0.0,0.758
normalized_rhofold_rp16.pdb,1.906,9.623312535733675e-09,0.874,0.926,0.73,0.895,2.181,35.4,0.283,,0.207,0.557,0.392,0.0,0.0,0.0,0.0,0.0,0.0,0.771
normalized_best_rp16_43.pdb,1.906,9.634187558837937e-09,0.872,0.926,0.913,0.85,2.186,15.35,0.246,,0.193,0.561,0.511,0.0,0.0,0.0,0.0,0.0,0.0,0.791
normalized_best_rp16_79.pdb,1.919,1.0039227615887825e-08,0.859,0.926,0.816,0.853,2.235,18.19,0.315,,0.193,0.792,0.367,0.0,0.0,0.0,0.0,0.0,0.0,0.792
normalized_rnajp_rp16.pdb,2.024,1.4050143160027062e-08,0.919,0.926,0.73,0.96,2.203,17.39,0.332,,0.205,0.691,0.489,0.0,0.0,0.0,0.0,0.0,0.0,0.015
normalized_best_rp16_31.pdb,2.041,1.4825223826342437e-08,0.806,0.913,0.816,0.776,2.532,19.08,0.326,,0.209,0.638,0.289,0.0,0.0,0.0,0.0,0.0,0.0,0.778
normalized_best_rp16_1.pdb,2.041,1.4813019255655036e-08,0.87,1.0,0.707,0.873,2.345,11.41,0.328,,0.211,0.544,0.397,0.0,0.0,0.0,0.0,0.0,0.0,0.817
normalized_best_rp16_24.pdb,2.041,1.4825223826342437e-08,0.806,0.913,0.816,0.776,2.532,19.08,0.326,,0.209,0.638,0.289,0.0,0.0,0.0,0.0,0.0,0.0,0.778
normalized_trrosettarna_rp16_2.pdb,2.118,1.8883270780367667e-08,0.633,0.73,0.471,0.642,3.347,23.13,0.435,,0.146,1.2,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.719
normalized_best_rp16_77.pdb,2.203,2.4684665256291538e-08,0.81,1.0,0.707,0.786,2.718,15.99,0.298,,0.219,0.757,0.384,0.0,0.0,0.0,0.0,0.0,0.0,0.813
normalized_best_rp16_54.pdb,2.209,2.5183333085543325e-08,0.664,1.0,0.236,0.66,3.325,15.02,0.305,,0.203,1.032,0.371,0.0,0.0,0.0,0.0,0.0,0.0,0.758
normalized_best_rp16_13.pdb,2.209,2.5183333085543325e-08,0.664,1.0,0.236,0.66,3.325,15.02,0.305,,0.203,1.032,0.371,0.0,0.0,0.0,0.0,0.0,0.0,0.758
