,RMSD,P-VALUE,INF-ALL,INF-WC,INF-NWC,INF-STACK,DI,MCQ,TM-score,CAD,BARNABA-RMSD,BARNABA-eRMSD,BARNABA-eSCORE,CLASH,GDT-TS,GDT-TS@1,GDT-TS@2,GDT-TS@4,GDT-TS@8,lDDT
normalized_alphafold3_rp29_5.pdb,1.19,0.0,0.938,1.0,0.707,0.916,1.269,10.54,0.772,0.939,0.121,0.266,2.557,0.0,0.923,0.712,0.981,1.0,1.0,0.935
normalized_alphafold3_rp29_3.pdb,1.223,0.0,0.946,1.0,0.707,0.929,1.293,10.58,0.763,0.94,0.123,0.276,2.542,0.0,0.918,0.692,0.981,1.0,1.0,0.936
normalized_alphafold3_rp29_4.pdb,1.241,0.0,0.938,1.0,0.707,0.916,1.324,10.42,0.758,0.943,0.129,0.26,2.526,0.0,0.913,0.673,0.981,1.0,1.0,0.937
normalized_alphafold3_rp29_1.pdb,1.254,0.0,0.938,1.0,0.707,0.916,1.338,10.49,0.763,0.943,0.128,0.272,2.525,0.0,0.913,0.673,0.981,1.0,1.0,0.939
normalized_alphafold3_rp29_2.pdb,1.329,0.0,0.938,1.0,0.707,0.916,1.417,10.58,0.738,0.938,0.135,0.294,2.522,0.0,0.899,0.615,0.981,1.0,1.0,0.934
normalized_trrosettarna_rp29_1.pdb,1.45,0.0,0.745,0.756,,0.761,1.946,24.67,0.811,0.898,0.129,1.148,1.611,0.0,0.942,0.769,1.0,1.0,1.0,0.754
normalized_trrosettarna_rp29_2.pdb,1.569,0.0,0.624,0.787,0.0,0.607,2.515,31.77,0.779,0.884,0.143,1.324,1.584,0.0,0.913,0.654,1.0,1.0,1.0,0.734
normalized_trrosettarna_rp29_3.pdb,1.722,0.0,0.52,0.724,0.316,0.469,3.311,37.23,0.777,0.871,0.147,1.445,1.307,0.0,0.904,0.615,1.0,1.0,1.0,0.723
normalized_trrosettarna_rp29_4.pdb,1.868,0.0,0.578,0.756,0.5,0.513,3.235,33.48,0.767,0.881,0.156,1.354,1.235,0.0,0.904,0.635,0.981,1.0,1.0,0.711
normalized_best_rp29_16.pdb,4.297,0.0,0.78,0.9,0.707,0.723,5.509,18.9,0.363,0.78,0.379,1.176,1.426,0.0,0.587,0.231,0.385,0.731,1.0,0.657
normalized_best_rp29_28.pdb,4.676,5.551115123125783e-17,0.791,0.9,0.354,0.775,5.914,21.82,0.339,0.794,0.444,1.129,1.569,0.0,0.558,0.211,0.327,0.692,1.0,0.631
normalized_best_rp29_10.pdb,4.793,5.551115123125783e-17,0.748,0.901,0.408,0.69,6.404,19.97,0.34,0.755,0.452,1.155,1.208,0.0,0.538,0.211,0.327,0.615,1.0,0.616
normalized_best_rp29_6.pdb,4.806,1.1102230246251565e-16,0.722,0.874,0.5,0.659,6.655,18.27,0.346,0.766,0.452,1.215,1.449,0.0,0.548,0.211,0.327,0.654,1.0,0.637
