,RMSD,P-VALUE,INF-ALL,INF-WC,INF-NWC,INF-STACK,DI,MCQ,TM-score,CAD,BARNABA-RMSD,BARNABA-eRMSD,BARNABA-eSCORE,CLASH,GDT-TS,GDT-TS@1,GDT-TS@2,GDT-TS@4,GDT-TS@8,lDDT
normalized_trrosettarna_rp24_1.pdb,2.168,0.0,0.816,0.934,0.0,0.787,2.658,19.36,0.851,0.267,0.198,0.935,4.622,0.0,0.504,0.198,0.279,0.549,0.991,0.773
normalized_trrosettarna_rp24_2.pdb,2.328,0.0,0.771,0.887,0.0,0.749,3.019,21.1,0.85,0.266,0.205,0.978,4.345,0.0,0.507,0.198,0.27,0.568,0.991,0.763
normalized_trrosettarna_rp24_3.pdb,2.407,0.0,0.673,0.812,0.0,0.656,3.576,25.77,0.845,0.265,0.212,1.222,3.685,0.0,0.498,0.162,0.27,0.568,0.991,0.724
normalized_trrosettarna_rp24_4.pdb,6.675,0.0,0.588,0.622,0.0,0.602,11.361,34.9,0.643,0.256,0.751,1.466,2.516,0.0,0.381,0.126,0.198,0.396,0.802,0.648
normalized_3drna_rp24_1.pdb,8.541,0.0,0.79,0.863,0.0,0.778,10.815,23.15,0.456,0.252,0.898,1.148,3.832,0.0,0.311,0.108,0.153,0.342,0.64,0.614
normalized_3drna_rp24_2.pdb,12.382,0.0,0.805,0.899,0.0,0.782,15.38,22.39,0.345,0.248,1.299,1.306,3.817,0.0,0.216,0.09,0.126,0.252,0.396,0.6
normalized_3drna_rp24_4.pdb,12.534,0.0,0.789,0.899,0.0,0.76,15.895,23.38,0.37,0.251,1.326,1.184,3.914,0.0,0.245,0.09,0.144,0.297,0.451,0.598
normalized_vfold_rp24.pdb,12.622,0.0,0.792,0.945,0.0,0.741,15.935,23.63,0.394,0.252,1.306,1.09,3.44,0.0,0.286,0.099,0.171,0.369,0.504,0.003
normalized_rnacomposer_rp24.pdb,12.991,0.0,0.818,0.946,0.0,0.774,15.885,21.28,0.399,0.265,1.327,1.07,3.552,0.0,0.281,0.099,0.153,0.342,0.531,0.675
normalized_3drna_rp24_5.pdb,13.542,0.0,0.78,0.911,0.0,0.744,17.355,21.39,0.36,0.249,1.405,1.284,3.708,0.0,0.234,0.099,0.126,0.297,0.414,0.606
normalized_trrosettarna_rp24_5.pdb,14.43,0.0,0.371,0.253,0.0,0.497,38.918,61.37,0.187,0.254,1.591,1.787,0.851,0.0,0.151,0.045,0.09,0.153,0.315,0.553
normalized_3drna_rp24.pdb,14.858,0.0,0.834,0.876,0.0,0.828,17.825,20.08,0.291,0.254,1.53,1.1,4.071,0.0,0.239,0.09,0.108,0.279,0.477,0.632
normalized_isrna_rp24.pdb,15.127,0.0,0.818,0.946,0.0,0.771,18.496,21.42,0.362,0.259,1.662,1.138,4.563,0.0,0.255,0.099,0.144,0.351,0.423,0.572
normalized_simrna_rp24.pdb,15.737,0.0,0.857,0.968,0.0,0.813,18.36,18.62,0.395,0.262,1.622,0.916,4.679,0.0,0.273,0.081,0.144,0.333,0.531,0.061
normalized_3drna_rp24_3.pdb,16.891,3.3306690738754696e-16,0.708,0.838,0.0,0.698,23.849,26.84,0.439,0.246,1.728,1.475,2.942,0.0,0.288,0.081,0.153,0.342,0.577,0.472
normalized_mcsym_rp24_2.pdb,17.284,1.887379141862766e-15,0.833,0.957,0.0,0.783,20.754,31.47,0.386,0.25,1.801,1.024,5.075,0.0,0.259,0.063,0.144,0.27,0.559,0.005
normalized_alphafold3_rp24_4.pdb,19.161,4.622191518421914e-12,0.86,0.89,0.0,0.861,22.274,14.01,0.332,0.264,1.96,1.078,5.449,0.0,0.243,0.09,0.153,0.279,0.451,0.665
normalized_alphafold3_rp24_2.pdb,19.278,7.2642447612736305e-12,0.856,0.89,0.0,0.864,22.516,13.97,0.317,0.264,1.973,1.076,5.375,0.0,0.241,0.09,0.144,0.279,0.451,0.624
normalized_mcsym_rp24_3.pdb,19.369,1.0268563777060535e-11,0.823,0.934,0.0,0.792,23.534,32.29,0.35,0.255,2.015,1.09,4.484,0.0,0.277,0.09,0.153,0.36,0.504,0.009
normalized_alphafold3_rp24_1.pdb,19.465,1.4780565660288403e-11,0.86,0.89,0.0,0.861,22.628,13.87,0.321,0.264,1.991,1.088,5.416,0.0,0.245,0.09,0.153,0.279,0.46,0.664
normalized_mcsym_rp24_5.pdb,19.57,2.1907253788810976e-11,0.823,0.957,0.289,0.782,23.772,33.02,0.331,0.256,2.003,1.106,4.513,0.0,0.241,0.063,0.099,0.297,0.504,0.004
normalized_alphafold3_rp24_5.pdb,19.636,2.8084479186674116e-11,0.86,0.89,0.0,0.861,22.827,14.0,0.323,0.265,2.006,1.081,5.429,0.0,0.241,0.09,0.144,0.279,0.451,0.632
