,RMSD,P-VALUE,INF-ALL,INF-WC,INF-NWC,INF-STACK,DI,MCQ,TM-score,CAD,BARNABA-RMSD,BARNABA-eRMSD,BARNABA-eSCORE,CLASH,GDT-TS,GDT-TS@1,GDT-TS@2,GDT-TS@4,GDT-TS@8,lDDT
normalized_trrosettarna_rp05_1.pdb,3.448,0.0,0.712,0.81,0.107,0.713,4.844,28.97,0.841,0.77,0.305,1.402,3.357,0.0,0.628,0.138,0.452,0.92,1.0,0.607
normalized_trrosettarna_rp05_2.pdb,3.469,0.0,0.67,0.785,0.0,0.683,5.18,29.07,0.842,0.776,0.314,1.497,3.145,0.0,0.642,0.165,0.484,0.92,1.0,0.594
normalized_trrosettarna_rp05_3.pdb,3.541,0.0,0.548,0.73,0.0,0.53,6.458,35.7,0.835,0.759,0.317,1.571,2.488,0.0,0.629,0.149,0.452,0.915,1.0,0.578
normalized_alphafold3_rp05_4.pdb,3.85,0.0,0.875,0.946,0.32,0.88,4.401,11.94,0.796,0.846,0.369,1.016,5.089,0.0,0.585,0.144,0.383,0.83,0.984,0.716
normalized_alphafold3_rp05_2.pdb,3.884,0.0,0.863,0.946,0.261,0.873,4.501,12.3,0.797,0.845,0.375,1.038,5.089,0.0,0.589,0.154,0.404,0.819,0.979,0.718
normalized_alphafold3_rp05_5.pdb,3.912,0.0,0.87,0.946,0.273,0.88,4.498,12.26,0.792,0.845,0.378,1.011,5.113,0.0,0.588,0.138,0.415,0.819,0.979,0.713
normalized_alphafold3_rp05_3.pdb,3.92,0.0,0.87,0.939,0.286,0.88,4.507,12.11,0.793,0.844,0.377,1.03,5.086,0.0,0.576,0.138,0.351,0.835,0.979,0.736
normalized_alphafold3_rp05_1.pdb,3.993,0.0,0.872,0.946,0.286,0.88,4.581,12.11,0.789,0.845,0.386,1.005,5.074,0.0,0.594,0.181,0.415,0.798,0.984,0.703
normalized_rhofold_rp05.pdb,5.822,0.0,0.559,0.549,0.056,0.654,10.416,53.39,0.658,0.686,0.561,1.837,1.887,0.0,0.4,0.059,0.186,0.436,0.92,0.466
normalized_best_rp05_21.pdb,9.031,0.0,0.771,0.922,0.293,0.753,11.708,20.89,0.57,0.739,0.941,1.3,4.594,0.0,0.359,0.085,0.197,0.431,0.723,0.544
