,RMSD,P-VALUE,INF-ALL,INF-WC,INF-NWC,INF-STACK,DI,MCQ,TM-score,CAD,BARNABA-RMSD,BARNABA-eRMSD,BARNABA-eSCORE,CLASH,GDT-TS,GDT-TS@1,GDT-TS@2,GDT-TS@4,GDT-TS@8,lDDT
normalized_trrosettarna_rp12_1.pdb,2.601,0.0,0.562,0.737,0.12,0.544,4.632,31.21,0.876,0.07,0.234,1.363,2.066,0.0,0.094,0.051,0.068,0.103,0.154,0.708
normalized_trrosettarna_rp12_2.pdb,2.613,0.0,0.631,0.717,0.267,0.638,4.139,39.27,0.863,0.066,0.249,1.376,1.98,0.0,0.1,0.051,0.086,0.103,0.162,0.687
normalized_alphafold3_rp12_2.pdb,3.139,0.0,0.856,0.974,0.57,0.835,3.666,17.37,0.779,0.069,0.309,0.837,3.639,0.0,0.094,0.051,0.068,0.103,0.154,0.758
normalized_alphafold3_rp12_4.pdb,3.158,0.0,0.859,0.974,0.598,0.835,3.674,17.54,0.787,0.07,0.31,0.848,3.646,0.0,0.098,0.051,0.077,0.103,0.162,0.758
normalized_alphafold3_rp12_5.pdb,3.172,0.0,0.855,0.974,0.57,0.833,3.709,17.54,0.777,0.07,0.312,0.844,3.655,0.0,0.094,0.051,0.068,0.103,0.154,0.759
normalized_alphafold3_rp12_3.pdb,3.181,0.0,0.859,0.974,0.57,0.84,3.702,17.35,0.785,0.069,0.311,0.841,3.663,0.0,0.094,0.051,0.068,0.103,0.154,0.763
normalized_alphafold3_rp12_1.pdb,3.228,0.0,0.858,0.974,0.598,0.833,3.762,17.4,0.778,0.07,0.317,0.846,3.636,0.0,0.094,0.051,0.068,0.103,0.154,0.76
normalized_rhofold_rp12.pdb,4.58,0.0,0.667,0.758,0.0,0.667,6.862,48.48,0.605,0.068,0.476,1.261,1.807,0.0,0.09,0.034,0.068,0.103,0.154,0.574
normalized_trrosettarna_rp12_3.pdb,19.362,2.2237767183241886e-13,0.386,0.226,0.0,0.526,50.172,61.13,0.227,0.067,2.017,1.799,0.762,0.0,0.086,0.043,0.06,0.094,0.145,0.549
normalized_trrosettarna_rp12_5.pdb,19.381,2.4080737404119645e-13,0.386,0.113,0.0,0.535,50.19,66.92,0.212,0.068,2.027,1.851,0.665,0.0,0.081,0.043,0.06,0.086,0.137,0.538
normalized_trrosettarna_rp12_4.pdb,19.424,2.865485626557529e-13,0.402,,0.0,0.58,48.281,62.51,0.227,0.066,2.01,1.772,0.751,0.0,0.086,0.043,0.06,0.094,0.145,0.549
normalized_3drna_rp12_3.pdb,24.642,8.246309414150499e-06,0.483,0.37,0.0,0.558,51.059,39.47,0.219,0.062,2.489,1.95,2.35,0.0,0.09,0.06,0.086,0.094,0.12,0.336
normalized_vfold_rp12.pdb,24.924,1.656496758334347e-05,0.407,0.546,0.0,0.411,61.263,35.36,0.256,0.052,2.558,2.166,1.732,0.0,0.098,0.06,0.094,0.111,0.128,0.001
normalized_rnacomposer_rp12.pdb,25.771,0.00011653450243220842,0.495,0.396,0.0,0.571,52.076,29.76,0.225,0.063,2.609,1.965,2.335,0.0,0.088,0.051,0.077,0.086,0.137,0.35
normalized_rnajp_rp12.pdb,26.359,0.0003989265503123729,0.566,0.507,0.0,0.614,46.557,26.59,0.209,0.063,2.668,1.877,3.417,0.0,0.092,0.051,0.077,0.103,0.137,0.058
