,RMSD,P-VALUE,INF-ALL,INF-WC,INF-NWC,INF-STACK,DI,MCQ,TM-score,CAD,BARNABA-RMSD,BARNABA-eRMSD,BARNABA-eSCORE,CLASH,GDT-TS,GDT-TS@1,GDT-TS@2,GDT-TS@4,GDT-TS@8,lDDT
normalized_rhofold_rp17.pdb,8.464,1.0200174038743626e-12,0.662,0.808,0.154,0.684,12.78,59.28,0.371,0.587,0.895,1.43,0.664,0.0,0.474,0.224,0.362,0.569,0.741,0.495
normalized_trrosettarna_rp17_4.pdb,12.437,7.027521253810676e-07,0.425,0.548,0.0,0.449,29.241,41.09,0.549,0.655,1.159,1.695,0.563,0.0,0.681,0.379,0.724,0.81,0.81,0.515
normalized_eprna_rp17.pdb,13.999,3.796989762677727e-05,,,,,,98.65,0.14,0.397,1.357,2.352,0.028,0.0,0.177,0.069,0.086,0.172,0.379,0.0
normalized_alphafold3_rp17_3.pdb,15.811,0.0015888560289064602,0.716,0.872,0.378,0.691,22.067,24.84,0.264,0.534,1.694,1.47,1.341,0.0,0.323,0.172,0.259,0.345,0.517,0.506
normalized_trrosettarna_rp17_1.pdb,16.356,0.004056916213738326,0.483,0.592,0.154,0.519,33.858,35.2,0.554,0.657,1.639,1.583,0.618,0.0,0.677,0.362,0.724,0.81,0.81,0.537
normalized_trrosettarna_rp17_3.pdb,16.359,0.004078371951171111,0.388,0.4,0.0,0.449,42.124,41.28,0.553,0.634,1.634,1.818,0.387,0.0,0.672,0.328,0.741,0.81,0.81,0.499
normalized_trrosettarna_rp17_2.pdb,16.383,0.004241539094649693,0.47,0.447,0.218,0.532,34.856,37.79,0.559,0.644,1.647,1.651,0.488,0.0,0.647,0.276,0.69,0.81,0.81,0.511
normalized_vfold_rp17.pdb,17.574,0.024393991241908497,0.375,0.271,0.0,0.481,46.805,32.65,0.138,0.477,1.851,2.145,0.82,0.0,0.203,0.121,0.19,0.224,0.276,0.007
normalized_3drna_rp17.pdb,18.234,0.05439039452991362,0.45,0.31,0.0,0.554,40.483,37.94,0.146,0.465,1.861,2.146,0.883,0.0,0.19,0.103,0.155,0.207,0.293,0.281
normalized_trrosettarna_rp17_5.pdb,19.265,0.15128914617425182,0.419,0.387,0.0,0.505,46.016,43.45,0.256,0.576,1.973,1.82,0.363,0.0,0.345,0.207,0.293,0.397,0.483,0.394
normalized_ifoldrna_rp17_4.pdb,19.43,0.17372465362430822,0.329,0.447,0.0,0.406,59.107,31.2,0.135,0.487,1.935,2.085,0.286,0.0,0.194,0.103,0.155,0.224,0.293,0.004
normalized_mcsym_rp17_3pdb.pdb,19.581,0.19611009041537436,0.404,0.28,0.0,0.5,48.504,40.86,0.158,0.455,1.993,2.183,1.106,0.0,0.224,0.138,0.19,0.224,0.345,0.012
normalized_mcsym_rp17_4.pdb,19.81,0.2332557906195521,0.366,0.28,0.0,0.45,54.092,41.81,0.163,0.461,2.047,2.215,1.057,0.0,0.215,0.155,0.19,0.224,0.293,0.016
normalized_mcsym_rp17_5.pdb,20.316,0.32739145893562227,0.462,0.28,0.0,0.593,43.996,41.73,0.171,0.48,2.065,2.199,1.078,0.0,0.194,0.103,0.172,0.224,0.276,0.005
normalized_3drna_rp17_1.pdb,20.342,0.33258944997174417,0.393,0.423,0.0,0.428,51.702,42.13,0.197,0.464,2.051,1.998,0.69,0.0,0.259,0.155,0.207,0.276,0.397,0.293
normalized_3drna_rp17_3.pdb,20.571,0.3800839971482067,0.399,0.395,0.0,0.443,51.593,39.6,0.188,0.45,2.082,2.022,0.666,0.0,0.263,0.172,0.241,0.276,0.362,0.289
normalized_mcsym_rp17_1.pdb,20.69,0.405379899815172,0.434,0.264,0.0,0.557,47.708,43.15,0.139,0.47,2.124,2.171,1.052,0.0,0.203,0.121,0.19,0.224,0.276,0.009
normalized_ifoldrna_rp17_3.pdb,20.839,0.43785168496010285,0.388,0.447,0.0,0.484,53.702,31.23,0.14,0.461,2.057,2.148,0.293,0.0,0.224,0.155,0.172,0.276,0.293,0.001
normalized_rnajp_rp17.pdb,20.869,0.44445031347200287,0.485,0.271,0.0,0.618,43.004,29.75,0.157,0.455,2.104,2.138,1.322,0.0,0.241,0.172,0.207,0.259,0.328,0.012
normalized_alphafold3_rp17_2.pdb,21.095,0.4943533024394808,0.621,0.671,0.378,0.652,33.95,25.42,0.271,0.52,2.134,1.645,0.924,0.0,0.323,0.19,0.259,0.345,0.5,0.44
normalized_alphafold3_rp17_1.pdb,21.147,0.5057829880776238,0.627,0.671,0.378,0.659,33.722,25.33,0.263,0.52,2.145,1.648,0.924,0.0,0.328,0.172,0.259,0.362,0.517,0.405
normalized_ifoldrna_rp17_2.pdb,21.299,0.5393603938996073,0.392,0.338,0.0,0.477,54.327,30.68,0.142,0.462,2.166,2.27,0.483,0.0,0.198,0.103,0.155,0.241,0.293,0.001
normalized_alphafold3_rp17_4.pdb,21.348,0.55018913566005,0.627,0.671,0.378,0.659,34.043,25.39,0.27,0.522,2.164,1.645,0.926,0.0,0.341,0.19,0.293,0.362,0.517,0.42
normalized_alphafold3_rp17_5.pdb,21.359,0.5526090295930689,0.616,0.671,0.267,0.652,34.685,25.08,0.272,0.522,2.169,1.648,0.929,0.0,0.332,0.19,0.259,0.362,0.517,0.439
normalized_ifoldrna_rp17_1.pdb,21.466,0.5759542796832076,0.39,0.423,0.0,0.455,55.097,32.09,0.191,0.465,2.156,2.125,0.382,0.0,0.233,0.155,0.207,0.276,0.293,0.005
normalized_3drna_rp17_4.pdb,21.701,0.6262846118044869,0.438,0.373,0.0,0.521,49.591,45.87,0.167,0.45,2.176,2.067,0.641,0.0,0.224,0.103,0.19,0.241,0.362,0.279
normalized_mcsym_rp17_2.pdb,21.768,0.6403496886967853,0.402,0.271,0.0,0.507,54.208,40.72,0.185,0.461,2.212,2.179,1.124,0.0,0.228,0.19,0.207,0.224,0.293,0.008
normalized_3drna_rp17_2.pdb,22.865,0.8337479306532092,0.398,0.354,0.0,0.462,57.385,37.24,0.2,0.457,2.317,2.037,0.751,0.0,0.25,0.121,0.241,0.276,0.362,0.292
normalized_3drna_rp17_5.pdb,23.493,0.9062168354481845,0.433,0.337,,0.511,54.283,48.46,0.196,0.476,2.356,2.084,0.727,0.0,0.254,0.138,0.241,0.276,0.362,0.291
normalized_rnacomposer_rp17.pdb,24.821,0.9800900609701272,0.46,0.387,,0.528,53.97,30.6,0.193,0.491,2.493,2.007,0.735,0.0,0.28,0.138,0.241,0.328,0.414,0.323
normalized_isrna_rp17.pdb,26.623,0.9988814758140487,0.457,0.424,0.0,0.517,58.251,28.32,0.211,0.506,2.617,2.032,0.827,0.0,0.263,0.155,0.224,0.31,0.362,0.278
normalized_ifoldrna_rp17_5.pdb,27.009,0.9994649677369429,0.267,0.4,0.0,0.303,101.239,30.28,0.126,0.478,2.679,2.129,0.287,0.0,0.181,0.086,0.155,0.207,0.276,0.002
normalized_vfoldpipeline_rp17.pdb,30.355,0.9999998553388919,0.442,0.387,0.0,0.507,68.755,26.68,0.185,0.476,2.997,2.111,0.923,0.0,0.246,0.155,0.224,0.276,0.328,0.278
normalized_simrna_rp17.pdb,48.904,1.0,0.121,,,0.156,403.272,46.6,0.085,0.44,4.645,1.981,0.032,0.0,0.09,0.069,0.069,0.103,0.121,0.0
normalized_best_rp17_12.pdb,,,0.557,0.477,0.0,0.651,,,0.292,0.714,,,1.607,0.0,0.366,0.19,0.276,0.431,0.569,0.45
