,RMSD,P-VALUE,INF-ALL,INF-WC,INF-NWC,INF-STACK,DI,MCQ,TM-score,CAD,BARNABA-RMSD,BARNABA-eRMSD,BARNABA-eSCORE,CLASH,GDT-TS,GDT-TS@1,GDT-TS@2,GDT-TS@4,GDT-TS@8,lDDT
normalized_trrosettarna_rp09_3.pdb,2.48,0.0,0.598,0.682,0.302,0.617,4.145,36.26,0.717,0.81,0.229,1.487,0.985,0.0,0.757,0.296,0.761,0.972,1.0,0.626
normalized_trrosettarna_rp09_2.pdb,2.604,0.0,0.473,0.742,0.0,0.473,5.509,34.4,0.713,0.796,0.218,1.579,1.076,0.0,0.764,0.296,0.761,1.0,1.0,0.628
normalized_trrosettarna_rp09_1.pdb,2.759,0.0,0.629,0.837,0.123,0.643,4.389,29.77,0.721,0.787,0.228,1.519,1.169,0.0,0.778,0.38,0.747,0.986,1.0,0.639
normalized_rhofold_rp09.pdb,5.633,0.0,0.703,0.822,0.456,0.699,8.015,54.89,0.456,0.722,0.569,1.407,1.105,0.0,0.539,0.211,0.38,0.648,0.915,0.558
normalized_best_rp09_19.pdb,6.043,0.0,0.695,0.872,0.405,0.679,8.693,19.13,0.464,0.727,0.59,1.51,1.498,0.0,0.511,0.211,0.338,0.634,0.859,0.535
normalized_best_rp09_15.pdb,6.185,0.0,0.689,0.685,0.533,0.718,8.98,24.68,0.487,0.713,0.598,1.569,1.496,0.0,0.542,0.268,0.422,0.62,0.859,0.595
normalized_best_rp09_5.pdb,6.185,0.0,0.689,0.685,0.533,0.718,8.98,24.68,0.487,0.713,0.598,1.569,1.496,0.0,0.542,0.268,0.422,0.62,0.859,0.595
normalized_best_rp09_8.pdb,6.185,0.0,0.689,0.685,0.533,0.718,8.98,24.68,0.487,0.713,0.598,1.569,1.496,0.0,0.542,0.268,0.422,0.62,0.859,0.595
normalized_alphafold3_rp09_3.pdb,6.299,0.0,0.759,0.822,0.539,0.772,8.304,14.19,0.482,0.795,0.655,1.258,1.858,0.0,0.578,0.338,0.465,0.676,0.831,0.667
normalized_best_rp09_1.pdb,6.379,0.0,0.704,0.872,0.57,0.667,9.06,18.99,0.472,0.734,0.632,1.46,1.558,0.0,0.542,0.31,0.437,0.606,0.817,0.543
normalized_best_rp09_4.pdb,6.385,0.0,0.73,0.85,0.615,0.708,8.751,18.23,0.484,0.739,0.632,1.456,1.552,0.0,0.546,0.324,0.437,0.62,0.803,0.548
normalized_best_rp09_9.pdb,6.393,0.0,0.74,0.872,0.615,0.716,8.634,20.44,0.48,0.736,0.633,1.442,1.547,0.0,0.549,0.338,0.437,0.62,0.803,0.543
normalized_alphafold3_rp09_2.pdb,6.454,0.0,0.767,0.822,0.603,0.779,8.41,13.5,0.473,0.793,0.668,1.284,1.835,0.0,0.556,0.296,0.451,0.662,0.817,0.646
normalized_best_rp09_14.pdb,6.471,0.0,0.731,0.85,0.615,0.709,8.85,19.49,0.475,0.734,0.64,1.452,1.598,0.0,0.549,0.338,0.437,0.606,0.817,0.6
normalized_best_rp09_28.pdb,6.494,0.0,0.738,0.85,0.615,0.718,8.8,19.46,0.469,0.739,0.646,1.39,1.39,0.0,0.525,0.282,0.422,0.606,0.789,0.403
normalized_best_rp09_7.pdb,6.5,0.0,0.715,0.83,0.615,0.691,9.094,18.6,0.478,0.743,0.64,1.359,1.561,0.0,0.532,0.31,0.437,0.578,0.803,0.534
normalized_alphafold3_rp09_5.pdb,6.526,0.0,0.766,0.822,0.539,0.783,8.523,13.32,0.462,0.795,0.676,1.281,1.859,0.0,0.549,0.31,0.422,0.648,0.817,0.619
normalized_best_rp09_16.pdb,6.589,0.0,0.676,0.763,0.57,0.663,9.742,19.63,0.488,0.705,0.652,1.444,1.34,0.0,0.521,0.31,0.408,0.578,0.789,0.386
normalized_alphafold3_rp09_1.pdb,6.598,0.0,0.751,0.822,0.492,0.768,8.781,13.92,0.46,0.792,0.683,1.269,1.85,0.0,0.556,0.338,0.422,0.648,0.817,0.649
normalized_alphafold3_rp09_4.pdb,6.72,0.0,0.77,0.822,0.603,0.783,8.726,12.95,0.458,0.793,0.699,1.255,1.888,0.0,0.56,0.338,0.437,0.648,0.817,0.651
normalized_best_rp09_33.pdb,7.764,0.0,0.69,0.85,0.522,0.667,11.25,17.53,0.431,0.765,0.813,1.29,1.621,0.0,0.507,0.31,0.38,0.592,0.747,0.581
normalized_best_rp09_25.pdb,7.791,0.0,0.75,0.83,0.704,0.73,10.381,17.58,0.431,0.788,0.799,1.249,1.607,0.0,0.518,0.31,0.394,0.606,0.761,0.566
normalized_best_rp09_32.pdb,8.354,0.0,0.699,0.85,0.483,0.694,11.96,18.72,0.418,0.766,0.884,1.354,1.572,0.0,0.496,0.31,0.394,0.578,0.704,0.571
normalized_best_rp09_21.pdb,8.61,0.0,0.727,0.81,0.64,0.711,11.849,19.39,0.448,0.727,0.907,1.356,1.709,0.0,0.493,0.31,0.408,0.549,0.704,0.599
normalized_best_rp09_30.pdb,8.666,0.0,0.743,0.878,0.704,0.699,11.661,19.42,0.452,0.775,0.903,1.195,1.587,0.0,0.5,0.31,0.394,0.549,0.747,0.592
