,RMSD,P-VALUE,INF-ALL,INF-WC,INF-NWC,INF-STACK,DI,MCQ,TM-score,CAD,BARNABA-RMSD,BARNABA-eRMSD,BARNABA-eSCORE,CLASH,GDT-TS,GDT-TS@1,GDT-TS@2,GDT-TS@4,GDT-TS@8,lDDT
normalized_best_R1107_1.pdb,4.515,0.0,0.834,0.935,0.5,0.804,5.417,18.15,0.564,0.818,0.43,1.054,1.97,0.0,0.656,0.275,0.551,0.826,0.971,0.724
normalized_best_R1107_2.pdb,4.855,0.0,0.831,0.917,0.707,0.8,5.84,17.7,0.498,0.817,0.468,1.076,1.94,0.0,0.62,0.275,0.464,0.783,0.957,0.721
normalized_best_R1107_5.pdb,5.021,0.0,0.818,0.935,0.5,0.781,6.137,17.7,0.473,0.818,0.489,1.106,1.959,0.0,0.616,0.29,0.42,0.826,0.927,0.688
normalized_best_R1107_3.pdb,5.306,0.0,0.874,0.935,0.707,0.855,6.069,18.17,0.488,0.823,0.513,1.037,1.927,0.0,0.587,0.304,0.435,0.71,0.899,0.71
normalized_best_R1107_4.pdb,5.944,0.0,0.844,0.935,0.707,0.811,7.041,17.84,0.487,0.836,0.585,1.093,1.992,0.0,0.569,0.246,0.42,0.696,0.913,0.728
normalized_trrosettarna_r1107_4.pdb,13.065,2.2881400663088414e-09,0.415,0.267,0.0,0.522,31.493,46.05,0.229,0.705,1.355,1.744,0.491,0.0,0.235,0.101,0.188,0.29,0.362,0.406
normalized_trrosettarna_r1107_1.pdb,13.352,5.899365773665011e-09,0.626,0.758,0.0,0.604,21.315,31.95,0.23,0.737,1.355,1.456,1.213,0.0,0.257,0.145,0.203,0.275,0.406,0.468
normalized_rhofold_r1107.pdb,14.725,3.9131574564033045e-07,0.47,0.309,0.0,0.595,31.332,58.95,0.282,0.65,1.509,1.948,0.893,0.0,0.232,0.101,0.159,0.261,0.406,0.36
normalized_trrosettarna_r1107_3.pdb,15.024,9.034873796331944e-07,0.399,,0.0,0.552,37.653,54.4,0.138,0.697,1.59,1.838,0.353,0.0,0.159,0.087,0.101,0.159,0.29,0.381
normalized_alphafold3_R1107_2.pdb,15.039,9.415549412361557e-07,0.807,0.935,0.0,0.791,18.634,19.02,0.214,0.784,1.616,1.346,1.943,0.0,0.254,0.13,0.203,0.261,0.42,0.546
normalized_trrosettarna_r1107_5.pdb,15.148,1.2683963114268337e-06,0.354,,0.0,0.485,42.778,54.2,0.154,0.697,1.622,1.837,0.329,0.0,0.17,0.087,0.116,0.174,0.304,0.376
normalized_alphafold3_R1107_1.pdb,15.216,1.525237449784278e-06,0.804,0.956,0.0,0.78,18.925,19.01,0.211,0.787,1.614,1.354,1.951,0.0,0.265,0.174,0.203,0.261,0.42,0.527
normalized_trrosettarna_r1107_2.pdb,15.558,3.785302515491029e-06,0.513,0.54,0.0,0.552,30.311,46.21,0.219,0.712,1.622,1.767,0.589,0.0,0.254,0.145,0.203,0.29,0.377,0.417
normalized_alphafold3_R1107_3.pdb,15.898,8.99356065875434e-06,0.828,0.956,0.0,0.801,19.19,18.81,0.194,0.774,1.676,1.321,1.946,0.0,0.265,0.145,0.203,0.261,0.449,0.595
normalized_alphafold3_R1107_5.pdb,15.991,1.1358450815290855e-05,0.816,0.935,,0.785,19.588,18.75,0.216,0.788,1.694,1.269,1.966,0.0,0.261,0.145,0.203,0.246,0.449,0.536
normalized_alphafold3_R1107_4.pdb,16.016,1.2077135893295843e-05,0.818,0.935,0.0,0.794,19.57,18.98,0.208,0.787,1.678,1.316,1.924,0.0,0.268,0.159,0.203,0.261,0.449,0.597
normalized_rnacomposer_r1107.pdb,17.056,0.0001336828343314056,0.55,0.326,0.0,0.667,30.985,27.83,0.209,0.664,1.781,1.906,1.482,0.0,0.228,0.145,0.203,0.232,0.333,0.377
normalized_mcsym_r1107_1.pdb,18.053,0.0009969944763257854,0.539,0.312,,0.648,33.464,36.53,0.213,0.665,1.817,2.004,1.824,0.0,0.265,0.13,0.217,0.29,0.42,0.004
normalized_simrna_r1107.pdb,18.524,0.0023337994187341282,0.548,0.306,0.0,0.673,33.801,25.65,0.264,0.67,1.916,2.072,1.838,0.0,0.246,0.188,0.217,0.246,0.333,0.034
normalized_vfold_r1107_4.pdb,18.806,0.0037644799813078555,0.519,0.312,0.0,0.636,36.27,36.28,0.353,0.654,1.938,2.003,1.336,0.0,0.246,0.145,0.232,0.29,0.319,0.01
normalized_mcsym_r1107_2.pdb,18.899,0.004385906457150424,0.577,0.319,0.0,0.698,32.748,39.43,0.267,0.666,1.914,1.949,1.867,0.0,0.217,0.101,0.174,0.261,0.333,0.001
normalized_3drna_r1107_4.pdb,19.078,0.005841683914293738,0.566,0.35,0.0,0.667,33.696,30.55,0.232,0.634,1.998,1.968,1.246,0.0,0.206,0.101,0.188,0.232,0.304,0.371
normalized_vfold_r1107_5.pdb,19.521,0.01143646654017233,0.418,0.326,0.0,0.502,46.744,32.3,0.253,0.679,2.064,2.001,1.288,0.0,0.225,0.13,0.188,0.232,0.348,0.002
normalized_3drna_r1107_3.pdb,19.855,0.01831874484659557,0.526,0.35,0.0,0.628,37.717,33.64,0.222,0.63,2.078,1.99,1.26,0.0,0.21,0.101,0.203,0.232,0.304,0.355
normalized_mcsym_r1107_5.pdb,20.796,0.05856716912351456,0.52,0.319,0.0,0.622,39.99,37.2,0.224,0.661,2.092,2.008,1.958,0.0,0.221,0.13,0.203,0.232,0.319,0.014
normalized_mcsym_r1107_3.pdb,20.924,0.0673236250433239,0.556,0.319,,0.667,37.613,36.36,0.232,0.661,2.143,1.988,1.709,0.0,0.232,0.116,0.203,0.261,0.348,0.007
normalized_vfold_r1107_2.pdb,21.398,0.10880631119457906,0.471,0.326,0.0,0.583,45.431,34.68,0.254,0.647,2.182,2.116,1.237,0.0,0.268,0.145,0.232,0.319,0.377,0.001
normalized_3drna_r1107_5.pdb,21.415,0.11063344420999022,0.549,0.309,,0.655,38.995,34.85,0.244,0.649,2.198,1.973,1.214,0.0,0.192,0.101,0.174,0.217,0.275,0.378
normalized_3drna_r1107_2.pdb,21.576,0.12841766540788446,0.531,0.37,0.0,0.614,40.669,28.51,0.2,0.61,2.254,1.927,1.116,0.0,0.206,0.116,0.203,0.232,0.275,0.336
normalized_mcsym_r1107_4.pdb,21.578,0.12863260138063648,0.538,0.319,0.0,0.649,40.094,37.2,0.205,0.661,2.2,1.983,1.931,0.0,0.199,0.101,0.159,0.246,0.29,0.003
normalized_vfold_r1107_1.pdb,21.794,0.1555705904979539,0.508,0.319,0.0,0.622,42.875,30.57,0.238,0.672,2.278,1.972,1.456,0.0,0.199,0.116,0.188,0.232,0.261,0.006
normalized_isrna_r1107.pdb,22.118,0.20244611546106872,0.57,0.342,0.0,0.681,38.781,27.77,0.25,0.652,2.295,1.905,1.454,0.0,0.261,0.145,0.232,0.29,0.377,0.305
normalized_vfoldpipeline_r1107.pdb,22.448,0.25809775608699204,0.53,0.342,0.0,0.617,42.37,23.97,0.241,0.659,2.314,1.994,1.771,0.0,0.206,0.116,0.203,0.232,0.275,0.375
normalized_3drna_r1107_1.pdb,22.716,0.3084696086826284,0.583,0.35,0.0,0.692,38.979,29.32,0.289,0.662,2.333,1.955,1.48,0.0,0.221,0.13,0.217,0.246,0.29,0.38
normalized_vfold_r1107_3.pdb,24.068,0.5989076178985582,0.529,0.286,0.0,0.668,45.52,34.49,0.257,0.657,2.452,2.045,1.356,0.0,0.206,0.145,0.188,0.217,0.275,0.014
