,RMSD,P-VALUE,INF-ALL,INF-WC,INF-NWC,INF-STACK,DI,MCQ,TM-score,CAD,BARNABA-RMSD,BARNABA-eRMSD,BARNABA-eSCORE,CLASH,GDT-TS,GDT-TS@1,GDT-TS@2,GDT-TS@4,GDT-TS@8,lDDT
normalized_best_R1138_1.pdb,17.627,0.0,0.855,0.967,0.0,0.811,20.605,19.9,0.599,0.86,1.817,0.769,43.941,0.0,0.21,0.04,0.108,0.239,0.454,0.694
normalized_best_R1138_2.pdb,17.868,0.0,0.859,0.967,0.154,0.813,20.809,19.8,0.593,0.862,1.842,0.767,43.951,0.0,0.219,0.046,0.111,0.256,0.464,0.694
normalized_best_R1138_3.pdb,18.035,0.0,0.855,0.967,0.189,0.806,21.102,20.09,0.582,0.86,1.859,0.768,44.176,0.0,0.207,0.05,0.093,0.242,0.444,0.688
normalized_best_R1138_4.pdb,19.841,0.0,0.864,0.967,0.214,0.823,22.959,21.58,0.534,0.836,2.033,0.844,27.809,0.0,0.175,0.025,0.087,0.193,0.396,0.672
normalized_best_R1138_5.pdb,21.194,0.0,0.857,0.967,0.286,0.809,24.725,25.77,0.553,0.831,2.168,0.832,26.044,0.0,0.18,0.028,0.101,0.196,0.396,0.661
normalized_trrosettarna_r1138_1.pdb,43.493,0.0,0.485,0.519,0.0,0.513,89.715,47.15,0.223,0.665,4.412,2.016,9.882,0.0,0.05,0.019,0.033,0.05,0.099,0.268
normalized_alphafold3_R1138_4.pdb,47.028,0.0,0.825,0.935,0.117,0.792,57.016,20.38,0.233,0.809,4.755,0.996,33.886,0.0,0.085,0.024,0.054,0.096,0.168,0.481
normalized_alphafold3_R1138_5.pdb,47.032,0.0,0.82,0.916,0.069,0.793,57.333,20.46,0.236,0.808,4.756,0.983,32.174,0.0,0.086,0.028,0.051,0.1,0.165,0.481
normalized_alphafold3_R1138_2.pdb,47.042,0.0,0.825,0.93,0.0,0.795,57.014,20.39,0.256,0.811,4.758,0.991,33.958,0.0,0.085,0.024,0.054,0.1,0.163,0.492
normalized_alphafold3_R1138_3.pdb,47.123,0.0,0.824,0.931,0.069,0.791,57.187,20.54,0.234,0.808,4.765,0.991,33.202,0.0,0.091,0.032,0.064,0.103,0.167,0.487
normalized_alphafold3_R1138_1.pdb,47.317,0.0,0.825,0.932,0.071,0.793,57.319,20.5,0.234,0.813,4.785,0.982,33.785,0.0,0.085,0.022,0.053,0.099,0.168,0.488
normalized_trrosettarna_r1138_2.pdb,48.683,0.0,0.373,0.359,0.0,0.42,130.692,55.2,0.194,0.597,4.903,2.231,6.395,0.0,0.046,0.028,0.032,0.047,0.076,0.135
normalized_trrosettarna_r1138_3.pdb,49.234,0.0,0.359,0.37,0.0,0.408,137.225,58.83,0.17,0.574,4.96,2.257,5.924,0.0,0.046,0.019,0.033,0.044,0.086,0.114
normalized_trrosettarna_r1138_4.pdb,51.117,0.0,0.289,0.323,0.0,0.328,177.087,61.59,0.173,0.537,5.153,2.381,4.508,0.0,0.045,0.013,0.029,0.051,0.089,0.059
normalized_trrosettarna_r1138_5.pdb,52.32,0.0,0.327,0.326,0.0,0.381,159.988,61.59,0.178,0.535,5.273,2.37,4.935,0.0,0.044,0.018,0.033,0.04,0.085,0.085
