,RMSD,P-VALUE,INF-ALL,INF-WC,INF-NWC,INF-STACK,DI,MCQ,TM-score,CAD,BARNABA-RMSD,BARNABA-eRMSD,BARNABA-eSCORE,CLASH,GDT-TS,GDT-TS@1,GDT-TS@2,GDT-TS@4,GDT-TS@8,lDDT
normalized_rhofold_R1116.pdb,22.574,2.275957200481571e-15,0.47,0.378,0.086,0.661,48.028,69.73,0.457,0.601,2.305,2.753,2.653,0.0,0.363,0.11,0.322,0.445,0.575,0.0
normalized_best_R1116_1.pdb,,,0.317,0.0,0.0,0.481,,,0.668,0.04,,,3.881,0.0,0.166,0.069,0.116,0.178,0.301,0.657
normalized_vfold_r1116_4.pdb,,,0.265,0.0,0.0,0.42,,,0.44,0.039,,,3.349,0.0,0.149,0.075,0.103,0.144,0.274,0.002
normalized_alphafold3_R1116_1.pdb,,,0.36,0.0,0.0,0.533,,,0.536,0.036,,,4.944,0.0,0.161,0.069,0.096,0.171,0.308,0.693
normalized_3drna_r1116_1.pdb,,,0.326,0.0,0.0,0.489,,,0.431,0.037,,,3.766,0.0,0.123,0.048,0.082,0.144,0.219,0.546
normalized_vfold_r1116_5.pdb,,,0.281,0.0,0.0,0.45,,,0.422,0.04,,,3.4,0.0,0.147,0.082,0.103,0.158,0.247,0.002
normalized_vfold_r1116_1.pdb,,,0.295,0.0,0.0,0.463,,,0.416,0.037,,,3.261,0.0,0.147,0.062,0.096,0.164,0.267,0.002
normalized_3drna_r1116_2.pdb,,,0.306,0.0,0.0,0.459,,,0.359,0.042,,,3.693,0.0,0.134,0.048,0.096,0.137,0.253,0.528
normalized_3drna_r1116_3.pdb,,,0.344,0.0,0.0,0.521,,,0.4,0.04,,,3.797,0.0,0.134,0.048,0.082,0.151,0.253,0.524
normalized_alphafold3_R1116_5.pdb,,,0.354,0.0,0.0,0.525,,,0.547,0.035,,,4.95,0.0,0.161,0.069,0.103,0.171,0.301,0.674
normalized_alphafold3_R1116_2.pdb,,,0.358,0.0,0.0,0.531,,,0.539,0.036,,,4.967,0.0,0.159,0.069,0.096,0.171,0.301,0.646
normalized_best_R1116_2.pdb,,,0.32,0.0,0.0,0.493,,,0.615,0.037,,,3.673,0.0,0.142,0.062,0.096,0.13,0.281,0.01
normalized_trrosettarna_r1116_2.pdb,,,0.319,0.0,0.0,0.461,,,0.55,0.038,,,3.157,0.0,0.147,0.055,0.096,0.144,0.294,0.532
normalized_rnajp_r1116.pdb,,,0.399,0.0,0.0,0.592,,,0.38,0.04,,,4.994,0.0,0.104,0.069,0.089,0.116,0.144,0.055
normalized_vfoldpipeline_r1116.pdb,,,0.318,0.0,0.0,0.474,,,0.486,0.039,,,4.708,0.0,0.161,0.082,0.103,0.164,0.294,0.592
normalized_trrosettarna_r1116_4.pdb,,,0.337,0.0,0.0,0.486,,,0.188,0.034,,,1.297,0.0,0.082,0.041,0.055,0.082,0.151,0.439
normalized_vfold_r1116_3.pdb,,,0.277,0.0,0.0,0.443,,,0.432,0.04,,,3.297,0.0,0.159,0.069,0.11,0.171,0.288,0.005
normalized_best_R1116_4.pdb,,,0.347,0.0,0.0,0.521,,,0.6,0.041,,,4.049,0.0,0.163,0.075,0.103,0.164,0.308,0.558
normalized_3drna_r1116_4.pdb,,,0.342,0.0,0.0,0.516,,,0.443,0.039,,,3.827,0.0,0.14,0.048,0.082,0.144,0.288,0.52
normalized_trrosettarna_r1116_3.pdb,,,0.358,0.0,0.0,0.513,,,0.565,0.039,,,2.605,0.0,0.144,0.055,0.096,0.144,0.281,0.521
normalized_trrosettarna_r1116_1.pdb,,,0.317,0.0,0.0,0.463,,,0.562,0.036,,,3.279,0.0,0.149,0.055,0.096,0.144,0.301,0.543
normalized_isrna_r1116.pdb,,,0.306,0.0,0.0,0.47,,,0.233,0.04,,,3.947,0.0,0.082,0.041,0.062,0.089,0.137,0.377
normalized_best_R1116_5.pdb,,,0.287,0.0,0.0,0.441,,,0.578,0.039,,,3.859,0.0,0.149,0.055,0.089,0.144,0.308,0.664
normalized_rnacomposer_r1116.pdb,,,0.282,0.0,0.0,0.434,,,0.461,0.039,,,3.344,0.0,0.13,0.048,0.082,0.13,0.26,0.612
normalized_best_R1116_3.pdb,,,0.338,0.0,0.0,0.493,,,0.607,0.039,,,2.687,0.0,0.161,0.075,0.11,0.178,0.281,0.319
normalized_alphafold3_R1116_4.pdb,,,0.358,0.0,0.0,0.531,,,0.547,0.035,,,4.962,0.0,0.156,0.069,0.089,0.158,0.308,0.642
normalized_simrna_r1116.pdb,,,0.343,0.0,0.0,0.533,,,0.295,0.037,,,4.311,0.0,0.104,0.048,0.082,0.116,0.171,0.015
normalized_trrosettarna_r1116_5.pdb,,,0.34,0.0,0.0,0.478,,,0.267,0.038,,,1.491,0.0,0.092,0.041,0.055,0.096,0.178,0.436
normalized_alphafold3_R1116_3.pdb,,,0.36,0.0,0.0,0.533,,,0.553,0.036,,,4.955,0.0,0.147,0.062,0.089,0.151,0.288,0.674
normalized_vfold_r1116_2.pdb,,,0.259,0.0,0.0,0.433,,,0.431,0.037,,,3.17,0.0,0.127,0.048,0.082,0.116,0.26,0.002
