,RMSD,P-VALUE,INF-ALL,INF-WC,INF-NWC,INF-STACK,DI,MCQ,TM-score,CAD,BARNABA-RMSD,BARNABA-eRMSD,BARNABA-eSCORE,CLASH,GDT-TS,GDT-TS@1,GDT-TS@2,GDT-TS@4,GDT-TS@8,lDDT
normalized_best_R1189_5.pdb,20.774,2.988387315383534e-11,0.72,0.871,,0.667,28.859,39.33,0.257,0.742,2.116,1.233,1.797,0.0,0.22,0.093,0.178,0.288,0.322,0.546
normalized_3drna_r1189_5.pdb,21.015,7.252076716923739e-11,0.623,0.786,,0.561,33.737,43.08,0.272,0.686,2.131,1.418,2.074,0.0,0.225,0.085,0.127,0.271,0.415,0.489
normalized_3drna_r1189_4.pdb,22.234,4.93239177279392e-09,0.644,0.816,,0.569,34.518,41.52,0.258,0.661,2.282,1.441,2.346,0.0,0.212,0.093,0.136,0.271,0.347,0.498
normalized_rhofold_R1189.pdb,22.312,6.362111504287782e-09,0.447,0.354,,0.562,49.945,56.35,0.234,0.638,2.38,2.081,1.116,0.0,0.182,0.068,0.144,0.229,0.288,0.37
normalized_3drna_r1189_3.pdb,22.888,3.9407603569241445e-08,0.629,0.786,,0.58,36.379,45.32,0.256,0.654,2.322,1.475,2.07,0.0,0.203,0.076,0.119,0.271,0.347,0.49
normalized_3drna_r1189_2.pdb,23.206,1.0335677241846142e-07,0.627,0.795,,0.566,37.005,45.2,0.211,0.666,2.351,1.5,2.125,0.0,0.184,0.076,0.127,0.237,0.297,0.497
normalized_best_R1189_4.pdb,25.817,9.118073363012513e-05,0.631,0.597,,0.672,40.925,35.3,0.28,0.708,2.62,1.388,2.61,0.0,0.214,0.102,0.144,0.254,0.356,0.502
normalized_3drna_r1189_1.pdb,26.463,0.00035780366458404433,0.584,0.727,,0.522,45.338,47.36,0.222,0.665,2.692,1.49,2.141,0.0,0.193,0.068,0.119,0.271,0.314,0.478
normalized_alphafold3_R1189_1.pdb,26.574,0.00044658336845659896,0.664,0.791,,0.625,40.004,32.73,0.267,0.683,2.734,1.587,3.269,0.0,0.208,0.119,0.144,0.254,0.314,0.526
normalized_simrna_r1189.pdb,26.583,0.0004546615331308401,0.63,0.77,,0.584,42.175,35.37,0.2,0.683,2.765,1.696,2.793,0.0,0.195,0.085,0.127,0.254,0.314,0.043
