,RMSD,P-VALUE,INF-ALL,INF-WC,INF-NWC,INF-STACK,DI,MCQ,TM-score,CAD,BARNABA-RMSD,BARNABA-eRMSD,BARNABA-eSCORE,CLASH,GDT-TS,GDT-TS@1,GDT-TS@2,GDT-TS@4,GDT-TS@8,lDDT
normalized_best_R1156_1.pdb,7.176,0.0,0.764,0.872,,0.732,9.392,25.93,0.585,0.813,0.724,1.177,4.17,0.0,0.411,0.089,0.252,0.518,0.785,0.639
normalized_best_R1156_4.pdb,11.179,0.0,0.87,0.927,,0.858,12.845,14.02,0.386,0.856,1.155,0.921,5.482,0.0,0.291,0.096,0.193,0.341,0.533,0.687
normalized_best_R1156_3.pdb,12.404,0.0,0.845,0.953,,0.803,14.681,10.42,0.383,0.836,1.288,1.083,5.434,0.0,0.259,0.104,0.178,0.311,0.444,0.608
normalized_best_R1156_2.pdb,15.215,0.0,0.846,0.916,,0.82,17.993,13.3,0.473,0.852,1.567,0.964,5.551,0.0,0.357,0.126,0.2,0.444,0.659,0.688
normalized_3drna_r1156_2.pdb,19.048,0.0,0.601,0.736,,0.578,31.702,29.44,0.286,0.659,1.968,1.668,2.247,0.0,0.209,0.067,0.148,0.259,0.363,0.325
normalized_3drna_r1156_3.pdb,19.634,0.0,0.705,0.839,,0.667,27.85,30.0,0.216,0.721,2.06,1.464,2.7,0.0,0.169,0.096,0.163,0.193,0.222,0.438
normalized_trrosettarna_r1156_3.pdb,19.982,0.0,0.468,0.495,,0.489,42.727,34.54,0.218,0.705,2.106,1.688,1.829,0.0,0.118,0.067,0.111,0.126,0.17,0.438
normalized_trrosettarna_r1156_1.pdb,20.556,2.7755575615628914e-16,0.568,0.513,,0.624,36.189,29.85,0.227,0.714,2.172,1.559,1.746,0.0,0.181,0.096,0.17,0.222,0.237,0.457
normalized_best_R1156_5.pdb,20.751,7.216449660063518e-16,0.817,0.897,,0.788,25.387,11.58,0.362,0.827,2.109,1.007,3.984,0.0,0.309,0.156,0.244,0.37,0.467,0.597
normalized_3drna_r1156_5.pdb,21.143,4.052314039881821e-15,0.661,0.805,,0.61,32.0,28.43,0.203,0.681,2.2,1.558,2.778,0.0,0.165,0.074,0.133,0.215,0.237,0.407
