,RMSD,P-VALUE,INF-ALL,INF-WC,INF-NWC,INF-STACK,DI,MCQ,TM-score,CAD,BARNABA-RMSD,BARNABA-eRMSD,BARNABA-eSCORE,CLASH,GDT-TS,GDT-TS@1,GDT-TS@2,GDT-TS@4,GDT-TS@8,lDDT
normalized_best_R1107_2.pdb,4.489,0.0,0.834,0.938,0.707,0.796,5.38,13.44,0.537,0.859,0.422,1.025,2.426,0.0,0.634,0.217,0.522,0.841,0.957,0.748
normalized_best_R1107_4.pdb,4.627,0.0,0.825,0.938,0.707,0.782,5.608,13.62,0.522,0.858,0.44,1.035,2.381,0.0,0.623,0.246,0.478,0.812,0.957,0.755
normalized_best_R1107_3.pdb,4.907,0.0,0.841,1.0,0.0,0.801,5.833,21.92,0.535,0.826,0.471,1.01,2.125,0.0,0.594,0.217,0.522,0.652,0.986,0.689
normalized_best_R1108_1.pdb,5.475,0.0,0.786,0.938,0.707,0.723,6.969,20.19,0.544,0.848,0.543,1.135,1.964,0.0,0.641,0.348,0.58,0.696,0.942,0.323
normalized_trrosettarna_r1108_1.pdb,5.662,0.0,0.521,0.684,0.0,0.491,10.872,37.31,0.381,0.818,0.556,1.54,1.09,0.0,0.478,0.174,0.246,0.565,0.927,0.611
normalized_trrosettarna_r1108_2.pdb,5.757,0.0,0.614,0.661,0.0,0.615,9.371,32.6,0.376,0.808,0.57,1.367,1.176,0.0,0.467,0.145,0.275,0.522,0.927,0.601
normalized_best_R1107_5.pdb,6.219,0.0,0.832,0.938,0.707,0.793,7.471,13.53,0.522,0.871,0.618,1.034,2.358,0.0,0.605,0.304,0.493,0.71,0.913,0.754
normalized_3drna_r1108_4.pdb,9.317,9.992007221626409e-16,0.819,0.826,0.0,0.841,11.369,30.15,0.408,0.8,0.976,1.219,1.465,0.0,0.457,0.217,0.449,0.536,0.623,0.602
normalized_vfoldpipeline_r1108.pdb,13.023,1.9848263588251314e-09,0.606,0.8,,0.532,21.485,32.42,0.249,0.702,1.317,1.562,1.246,0.0,0.341,0.159,0.217,0.333,0.652,0.456
normalized_isrna_r1108.pdb,13.891,3.275730114937758e-08,0.68,0.8,0.0,0.654,20.432,22.55,0.244,0.758,1.449,1.337,1.487,0.0,0.29,0.116,0.217,0.29,0.536,0.509
normalized_trrosettarna_r1108_3.pdb,14.088,5.991393520199395e-08,0.285,,0.0,0.401,49.489,52.57,0.151,0.784,1.548,1.795,0.4,0.0,0.196,0.058,0.13,0.203,0.391,0.493
normalized_trrosettarna_r1108_4.pdb,14.164,7.536996765589166e-08,0.356,0.0,0.0,0.5,39.805,56.82,0.128,0.769,1.552,1.874,0.344,0.0,0.199,0.072,0.116,0.203,0.406,0.505
normalized_alphafold3_R1108_5.pdb,14.252,9.82856497300233e-08,0.818,1.0,,0.761,17.428,18.64,0.384,0.789,1.486,1.244,2.463,0.0,0.453,0.203,0.435,0.551,0.623,0.581
normalized_trrosettarna_r1108_5.pdb,14.274,1.048891516974848e-07,0.324,,0.0,0.448,44.036,57.24,0.152,0.779,1.569,1.822,0.419,0.0,0.192,0.072,0.13,0.203,0.362,0.497
normalized_rnajp_r1108.pdb,15.652,4.821365232998698e-06,0.793,0.8,0.0,0.814,19.731,24.37,0.288,0.762,1.635,1.317,1.748,0.0,0.359,0.145,0.261,0.435,0.594,0.017
normalized_rhofold_R1108.pdb,15.824,7.486154645186538e-06,0.529,0.554,0.0,0.591,29.902,54.18,0.245,0.672,1.585,1.878,0.656,0.0,0.29,0.087,0.188,0.348,0.536,0.376
normalized_simrna_r1108.pdb,19.644,0.013645019237998435,0.53,0.298,0.0,0.657,37.093,22.63,0.225,0.678,2.013,2.048,2.027,0.0,0.243,0.159,0.188,0.29,0.333,0.02
normalized_alphafold3_R1108_3.pdb,20.139,0.02667578505826057,0.77,0.8,0.0,0.782,26.146,17.89,0.339,0.742,2.067,1.347,2.013,0.0,0.402,0.203,0.348,0.493,0.565,0.542
normalized_vfold_r1108_2.pdb,20.176,0.02796600830204915,0.437,0.287,0.0,0.562,46.122,29.79,0.241,0.679,2.156,2.068,1.394,0.0,0.21,0.116,0.203,0.232,0.29,0.006
normalized_3drna_r1108_1.pdb,20.179,0.028069243992141557,0.786,0.769,0.0,0.816,25.688,25.06,0.413,0.788,2.077,1.242,1.357,0.0,0.464,0.232,0.478,0.536,0.609,0.592
normalized_vfold_r1108_1.pdb,20.288,0.032195580349926034,0.507,0.287,0.0,0.639,40.001,31.53,0.268,0.677,2.17,2.033,1.695,0.0,0.206,0.101,0.217,0.246,0.261,0.003
normalized_alphafold3_R1108_4.pdb,20.652,0.04978149500694862,0.752,0.826,0.0,0.749,27.455,18.81,0.353,0.739,2.118,1.36,2.004,0.0,0.399,0.188,0.333,0.493,0.58,0.532
normalized_alphafold3_R1108_2.pdb,20.662,0.05035429039460143,0.765,0.8,0.0,0.782,27.016,17.56,0.326,0.741,2.127,1.351,2.014,0.0,0.373,0.188,0.304,0.435,0.565,0.534
normalized_alphafold3_R1108_1.pdb,21.002,0.0731516825936942,0.774,0.826,,0.771,27.143,19.01,0.343,0.738,2.157,1.357,1.982,0.0,0.388,0.203,0.319,0.449,0.58,0.518
normalized_vfold_r1108_3.pdb,21.194,0.0891679889449451,0.479,0.298,0.0,0.594,44.276,30.44,0.252,0.684,2.241,2.072,1.494,0.0,0.199,0.116,0.188,0.232,0.261,0.002
normalized_rnacomposer_r1108.pdb,21.356,0.1045835598333964,0.698,0.8,0.0,0.679,30.603,26.82,0.26,0.716,2.222,1.418,1.082,0.0,0.283,0.203,0.261,0.304,0.362,0.469
normalized_3drna_r1108_2.pdb,22.045,0.19132217640229277,0.729,0.769,,0.731,30.221,39.09,0.346,0.759,2.256,1.318,1.278,0.0,0.413,0.232,0.377,0.449,0.594,0.532
normalized_3drna_r1108_5.pdb,22.255,0.22468351870968062,0.767,0.769,0.0,0.799,29.028,30.96,0.358,0.773,2.286,1.256,1.296,0.0,0.406,0.232,0.377,0.449,0.565,0.543
normalized_vfold_r1108_4.pdb,22.596,0.2852906947470496,0.441,0.298,0.0,0.56,51.236,27.81,0.257,0.668,2.357,2.044,1.468,0.0,0.199,0.116,0.174,0.232,0.275,0.007
normalized_vfold_r1108_5.pdb,22.689,0.3031432033262072,0.476,0.318,0.0,0.604,47.671,29.53,0.257,0.666,2.361,2.032,1.51,0.0,0.192,0.101,0.174,0.232,0.261,0.022
normalized_3drna_r1108_3.pdb,23.276,0.424961270589952,0.728,0.769,0.0,0.736,31.993,30.96,0.397,0.769,2.388,1.283,1.389,0.0,0.427,0.217,0.391,0.507,0.594,0.552
