,RMSD,P-VALUE,INF-ALL,INF-WC,INF-NWC,INF-STACK,DI,MCQ,GDT-TS,GDT-TS@1,GDT-TS@2,GDT-TS@4,GDT-TS@8,CLASH,TM-score,BARNABA-RMSD,BARNABA-eRMSD,BARNABA-eSCORE,lDDT,CAD,QS-score,LCS-TA-COVERAGE,LCS-TA-RESIDUES
normalized_trrosettarna_rp05_1.pdb,3.448,0.0,0.712,0.81,0.107,0.713,4.844,28.97,0.628,0.138,0.452,0.92,1.0,0.0,0.841,0.305,1.402,3.357,0.607,0.77,,,
normalized_trrosettarna_rp05_2.pdb,3.469,0.0,0.67,0.785,0.0,0.683,5.18,29.07,0.642,0.165,0.484,0.92,1.0,0.0,0.842,0.314,1.497,3.145,0.594,0.776,,,
normalized_trrosettarna_rp05_3.pdb,3.541,0.0,0.548,0.73,0.0,0.53,6.458,35.7,0.629,0.149,0.452,0.915,1.0,0.0,0.835,0.317,1.571,2.488,0.578,0.759,,,
normalized_rhofold_rp05.pdb,5.822,0.0,0.559,0.549,0.056,0.654,10.416,53.39,0.4,0.059,0.186,0.436,0.92,0.0,0.658,0.561,1.837,1.887,0.466,0.686,,,
normalized_3drna_rp05_3.pdb,25.646,0.0,0.564,0.618,0.0,0.588,45.454,35.95,0.108,0.037,0.085,0.138,0.17,0.0,0.242,2.626,2.016,2.696,0.261,0.585,,,
normalized_trrosettarna_rp05_4.pdb,26.402,0.0,0.325,0.0,0.0,0.456,81.258,55.71,0.136,0.032,0.08,0.16,0.271,0.0,0.196,2.734,2.008,1.014,0.453,0.708,,,
normalized_trrosettarna_rp05_5.pdb,26.492,0.0,0.423,0.0,0.0,0.619,62.685,57.95,0.134,0.027,0.069,0.165,0.277,0.0,0.202,2.737,1.922,0.94,0.475,0.722,,,
normalized_3drna_rp05_5.pdb,26.603,0.0,0.576,0.616,0.114,0.59,46.18,33.31,0.109,0.043,0.074,0.154,0.165,0.0,0.197,2.748,1.925,3.282,0.275,0.591,,,
normalized_rnacomposer_rp05.pdb,31.897,7.821071568159255e-09,0.633,0.614,0.135,0.671,50.37,24.64,0.174,0.069,0.128,0.213,0.287,0.0,0.246,3.256,1.796,3.626,0.387,0.621,,,
normalized_vfoldpipeline_rp05.pdb,32.803,1.293559260817645e-07,0.575,0.622,0.0,0.6,57.046,23.48,0.141,0.101,0.128,0.154,0.181,0.0,0.229,3.327,1.985,4.09,0.194,0.572,,,
normalized_3drna_rp05.pdb,33.689,1.5880072656293542e-06,0.494,0.36,0.0,0.58,68.173,33.32,0.116,0.048,0.101,0.149,0.165,0.0,0.19,3.401,2.102,3.178,0.259,0.569,,,
normalized_3drna_rp05_2.pdb,33.84,2.3781923024768226e-06,0.55,0.537,0.0,0.581,61.555,32.52,0.112,0.053,0.085,0.138,0.17,0.0,0.17,3.423,1.958,3.06,0.294,0.571,,,
normalized_simrna_rp05.pdb,34.008,3.6975703085473377e-06,0.617,0.576,0.0,0.671,55.076,22.35,0.134,0.048,0.096,0.144,0.25,0.0,0.204,3.479,1.92,4.78,0.023,0.627,,,
normalized_3drna_rp05_1.pdb,34.037,3.988058642989678e-06,0.562,0.537,0.0,0.605,60.53,29.32,0.113,0.059,0.08,0.149,0.165,0.0,0.17,3.471,1.884,2.972,0.318,0.605,,,
normalized_vfold_rp05.pdb,35.335,9.029762940770958e-05,0.553,0.387,0.0,0.645,63.929,21.02,0.125,0.069,0.117,0.149,0.165,0.0,0.244,3.563,2.046,4.812,0.157,0.587,,,
normalized_3drna_rp05_4.pdb,36.498,0.0009727106074799,0.538,0.549,0.0,0.588,67.861,38.38,0.104,0.043,0.074,0.133,0.165,0.0,0.186,3.719,2.041,2.697,0.277,0.573,,,
normalized_rnajp_rp05.pdb,38.308,0.0181876900009783,0.591,0.39,0.0,0.695,64.807,22.13,0.12,0.059,0.096,0.149,0.175,0.0,0.16,3.872,2.034,5.213,0.046,0.597,,,
normalized_eprna_rp05.pdb,40.644,0.2132917370472624,0.009,0.0,0.0,0.021,4521.382,95.99,0.048,0.016,0.032,0.053,0.09,0.0,0.156,3.987,2.732,0.483,0.0,0.411,,,
normalized_ifoldrna_rp05_5.pdb,68.69,1.0,0.18,0.12,0.0,0.27,382.062,28.68,0.064,0.021,0.048,0.074,0.112,0.0,0.144,6.866,2.223,0.778,0.002,0.535,,,
normalized_ifoldrna_rp05_4.pdb,79.604,1.0,0.268,0.114,0.0,0.386,296.842,26.25,0.085,0.032,0.064,0.101,0.144,0.0,0.114,7.952,2.167,1.167,0.001,0.565,,,
normalized_ifoldrna_rp05_3.pdb,82.018,1.0,0.321,0.102,0.0,0.434,255.903,27.06,0.072,0.027,0.064,0.08,0.117,0.0,0.103,8.196,2.208,1.265,0.004,0.552,,,
normalized_ifoldrna_rp05_1.pdb,82.344,1.0,0.282,0.135,0.0,0.402,291.989,27.31,0.08,0.032,0.069,0.09,0.128,0.0,0.126,8.232,2.226,1.37,0.002,0.569,,,
normalized_ifoldrna_rp05_2.pdb,82.593,1.0,0.272,0.164,0.0,0.383,303.936,27.27,0.086,0.032,0.064,0.106,0.144,0.0,0.12,8.276,2.192,1.242,0.0,0.565,,,
normalized_alphafold3_rp05_4.pdb,3.85,0.0,0.875,0.946,0.32,0.88,4.401,11.94,0.585,0.144,0.383,0.83,0.984,0.0,0.796,0.369,1.016,5.089,0.716,0.846,0.0,100.0,188.0
normalized_alphafold3_rp05_2.pdb,3.884,0.0,0.863,0.946,0.261,0.873,4.501,12.3,0.589,0.154,0.404,0.819,0.979,0.0,0.797,0.375,1.038,5.089,0.718,0.845,0.0,100.0,188.0
normalized_alphafold3_rp05_5.pdb,3.912,0.0,0.87,0.946,0.273,0.88,4.498,12.26,0.588,0.138,0.415,0.819,0.979,0.0,0.792,0.378,1.011,5.113,0.713,0.845,0.0,100.0,188.0
normalized_alphafold3_rp05_3.pdb,3.92,0.0,0.87,0.939,0.286,0.88,4.507,12.11,0.576,0.138,0.351,0.835,0.979,0.0,0.793,0.377,1.03,5.086,0.736,0.844,0.0,100.0,188.0
normalized_alphafold3_rp05_1.pdb,3.993,0.0,0.872,0.946,0.286,0.88,4.581,12.11,0.594,0.181,0.415,0.798,0.984,0.0,0.789,0.386,1.005,5.074,0.703,0.845,0.0,100.0,188.0
