,RMSD,P-VALUE,INF-ALL,INF-WC,INF-NWC,INF-STACK,DI,MCQ,GDT-TS,GDT-TS@1,GDT-TS@2,GDT-TS@4,GDT-TS@8,CLASH,TM-score,BARNABA-RMSD,BARNABA-eRMSD,BARNABA-eSCORE,lDDT,CAD,QS-score,LCS-TA-COVERAGE,LCS-TA-RESIDUES
normalized_trrosettarna_rp24_1.pdb,2.168,0.0,0.816,0.934,0.0,0.787,2.658,19.36,0.504,0.198,0.279,0.549,0.991,0.0,0.851,0.198,0.935,4.622,0.773,0.267,,,
normalized_trrosettarna_rp24_2.pdb,2.328,0.0,0.771,0.887,0.0,0.749,3.019,21.1,0.507,0.198,0.27,0.568,0.991,0.0,0.85,0.205,0.978,4.345,0.763,0.266,,,
normalized_trrosettarna_rp24_3.pdb,2.407,0.0,0.673,0.812,0.0,0.656,3.576,25.77,0.498,0.162,0.27,0.568,0.991,0.0,0.845,0.212,1.222,3.685,0.724,0.265,,,
normalized_trrosettarna_rp24_4.pdb,6.675,0.0,0.588,0.622,0.0,0.602,11.361,34.9,0.381,0.126,0.198,0.396,0.802,0.0,0.643,0.751,1.466,2.516,0.648,0.256,,,
normalized_3drna_rp24_1.pdb,8.541,0.0,0.79,0.863,0.0,0.778,10.815,23.15,0.311,0.108,0.153,0.342,0.64,0.0,0.456,0.898,1.148,3.832,0.614,0.252,,,
normalized_3drna_rp24_2.pdb,12.382,0.0,0.805,0.899,0.0,0.782,15.38,22.39,0.216,0.09,0.126,0.252,0.396,0.0,0.345,1.299,1.306,3.817,0.6,0.248,,,
normalized_3drna_rp24_4.pdb,12.534,0.0,0.789,0.899,0.0,0.76,15.895,23.38,0.245,0.09,0.144,0.297,0.451,0.0,0.37,1.326,1.184,3.914,0.598,0.251,,,
normalized_vfold_rp24.pdb,12.622,0.0,0.792,0.945,0.0,0.741,15.935,23.63,0.286,0.099,0.171,0.369,0.504,0.0,0.394,1.306,1.09,3.44,0.003,0.252,,,
normalized_rnacomposer_rp24.pdb,12.991,0.0,0.818,0.946,0.0,0.774,15.885,21.28,0.281,0.099,0.153,0.342,0.531,0.0,0.399,1.327,1.07,3.552,0.675,0.265,,,
normalized_3drna_rp24_5.pdb,13.542,0.0,0.78,0.911,0.0,0.744,17.355,21.39,0.234,0.099,0.126,0.297,0.414,0.0,0.36,1.405,1.284,3.708,0.606,0.249,,,
normalized_trrosettarna_rp24_5.pdb,14.43,0.0,0.371,0.253,0.0,0.497,38.918,61.37,0.151,0.045,0.09,0.153,0.315,0.0,0.187,1.591,1.787,0.851,0.553,0.254,,,
normalized_3drna_rp24.pdb,14.858,0.0,0.834,0.876,0.0,0.828,17.825,20.08,0.239,0.09,0.108,0.279,0.477,0.0,0.291,1.53,1.1,4.071,0.632,0.254,,,
normalized_isrna_rp24.pdb,15.127,0.0,0.818,0.946,0.0,0.771,18.496,21.42,0.255,0.099,0.144,0.351,0.423,0.0,0.362,1.662,1.138,4.563,0.572,0.259,,,
normalized_simrna_rp24.pdb,15.737,0.0,0.857,0.968,0.0,0.813,18.36,18.62,0.273,0.081,0.144,0.333,0.531,0.0,0.395,1.622,0.916,4.679,0.061,0.262,,,
normalized_3drna_rp24_3.pdb,16.891,3.3306690738754696e-16,0.708,0.838,0.0,0.698,23.849,26.84,0.288,0.081,0.153,0.342,0.577,0.0,0.439,1.728,1.475,2.942,0.472,0.246,,,
normalized_mcsym_rp24_2.pdb,17.284,1.887379141862766e-15,0.833,0.957,0.0,0.783,20.754,31.47,0.259,0.063,0.144,0.27,0.559,0.0,0.386,1.801,1.024,5.075,0.005,0.25,,,
normalized_mcsym_rp24_3.pdb,19.369,1.0268563777060535e-11,0.823,0.934,0.0,0.792,23.534,32.29,0.277,0.09,0.153,0.36,0.504,0.0,0.35,2.015,1.09,4.484,0.009,0.255,,,
normalized_mcsym_rp24_5.pdb,19.57,2.1907253788810976e-11,0.823,0.957,0.289,0.782,23.772,33.02,0.241,0.063,0.099,0.297,0.504,0.0,0.331,2.003,1.106,4.513,0.004,0.256,,,
normalized_mcsym_rp24_1.pdb,19.72,3.833766637484359e-11,0.841,0.946,0.0,0.816,23.455,31.66,0.232,0.09,0.144,0.279,0.414,0.0,0.333,2.071,1.12,4.645,0.002,0.254,,,
normalized_rnajp_rp24.pdb,20.199,2.1753793211232164e-10,0.873,0.946,,0.851,23.148,16.5,0.239,0.063,0.135,0.306,0.451,0.0,0.415,2.175,0.992,6.311,0.398,0.251,,,
normalized_mcsym_rp24_4.pdb,21.218,6.9458687690371335e-09,0.835,0.946,0.0,0.798,25.423,31.38,0.228,0.081,0.126,0.27,0.432,0.0,0.276,2.184,1.072,4.676,0.013,0.258,,,
