,RMSD,P-VALUE,INF-ALL,INF-WC,INF-NWC,INF-STACK,DI,MCQ,GDT-TS,GDT-TS@1,GDT-TS@2,GDT-TS@4,GDT-TS@8,CLASH,TM-score,BARNABA-RMSD,BARNABA-eRMSD,BARNABA-eSCORE,lDDT,CAD,QS-score,LCS-TA-COVERAGE,LCS-TA-RESIDUES
normalized_trrosettarna_rp09_3.pdb,2.48,0.0,0.598,0.682,0.302,0.617,4.145,36.26,0.757,0.296,0.761,0.972,1.0,0.0,0.717,0.229,1.487,0.985,0.626,0.81,,,
normalized_trrosettarna_rp09_2.pdb,2.604,0.0,0.473,0.742,0.0,0.473,5.509,34.4,0.764,0.296,0.761,1.0,1.0,0.0,0.713,0.218,1.579,1.076,0.628,0.796,,,
normalized_trrosettarna_rp09_1.pdb,2.759,0.0,0.629,0.837,0.123,0.643,4.389,29.77,0.778,0.38,0.747,0.986,1.0,0.0,0.721,0.228,1.519,1.169,0.639,0.787,,,
normalized_rhofold_rp09.pdb,5.633,0.0,0.703,0.822,0.456,0.699,8.015,54.89,0.539,0.211,0.38,0.648,0.915,0.0,0.456,0.569,1.407,1.105,0.558,0.722,,,
normalized_simrna_rp09.pdb,11.093,3.110289803487376e-13,0.616,0.763,,0.618,17.998,23.86,0.306,0.211,0.225,0.31,0.479,0.0,0.297,1.198,1.714,1.811,0.043,0.649,,,
normalized_trrosettarna_rp09_4.pdb,11.515,1.6923684675873574e-12,0.34,0.158,0.0,0.481,33.825,60.75,0.239,0.085,0.169,0.282,0.422,0.0,0.192,1.297,1.947,0.365,0.505,0.753,,,
normalized_trrosettarna_rp09_5.pdb,11.589,2.2625235018836065e-12,0.368,0.0,0.0,0.528,31.462,56.71,0.25,0.127,0.183,0.268,0.422,0.0,0.181,1.31,1.968,0.32,0.497,0.74,,,
normalized_3drna_rp09_4.pdb,15.514,1.0734844206328198e-06,0.602,0.821,0.0,0.586,25.76,42.84,0.232,0.141,0.183,0.254,0.352,0.0,0.198,1.609,1.678,1.314,0.374,0.584,,,
normalized_eprna_rp09.pdb,15.597,1.3458588865034038e-06,0.0,0.0,0.0,,inf,87.67,0.19,0.056,0.113,0.183,0.408,0.0,0.166,1.534,2.319,0.075,0.0,0.467,,,
normalized_3drna_rp09_1.pdb,17.098,5.681922849254395e-05,0.612,0.791,,0.604,27.951,36.59,0.222,0.155,0.183,0.254,0.296,0.0,0.189,1.769,1.739,1.287,0.38,0.59,,,
