,RMSD,P-VALUE,INF-ALL,INF-WC,INF-NWC,INF-STACK,DI,MCQ,GDT-TS,GDT-TS@1,GDT-TS@2,GDT-TS@4,GDT-TS@8,CLASH,TM-score,BARNABA-RMSD,BARNABA-eRMSD,BARNABA-eSCORE,lDDT,CAD,QS-score,LCS-TA-COVERAGE,LCS-TA-RESIDUES
normalized_trrosettarna_rp25_2.pdb,3.179,0.0,0.643,0.873,0.0,0.643,4.943,31.06,0.688,0.188,0.623,0.942,1.0,0.0,0.66,0.314,1.452,1.301,0.613,0.786,,,
normalized_trrosettarna_rp25_1.pdb,3.198,0.0,0.457,0.726,0.0,0.422,7.001,30.82,0.688,0.203,0.638,0.913,1.0,0.0,0.661,0.301,1.712,1.197,0.6,0.789,,,
normalized_trrosettarna_rp25_3.pdb,3.253,0.0,0.392,0.582,0.0,0.409,8.304,32.85,0.685,0.188,0.623,0.927,1.0,0.0,0.655,0.308,1.749,0.914,0.59,0.776,,,
normalized_vfoldpipeline_rp25.pdb,4.334,0.0,0.783,0.926,0.615,0.759,5.532,19.43,0.696,0.464,0.58,0.768,0.971,0.0,0.644,0.426,1.406,1.617,0.539,0.792,,,
normalized_trrosettarna_rp25_5.pdb,11.451,6.964373522322376e-12,0.273,0.154,0.0,0.405,41.959,60.76,0.217,0.072,0.13,0.275,0.391,0.0,0.168,1.308,1.996,0.371,0.489,0.742,,,
normalized_trrosettarna_rp25_4.pdb,11.493,8.183342892209566e-12,0.281,0.309,0.087,0.357,40.868,51.32,0.214,0.072,0.13,0.261,0.391,0.0,0.162,1.309,2.005,0.369,0.494,0.754,,,
normalized_rhofold_rp25.pdb,12.841,1.0728741228760441e-09,0.412,0.225,0.0,0.554,31.182,57.79,0.225,0.101,0.174,0.246,0.377,0.0,0.238,1.33,2.352,0.623,0.303,0.601,,,
normalized_mcsym_rp25.pdb,15.475,3.0449098959439702e-06,0.623,0.926,0.0,0.585,24.821,33.87,0.279,0.203,0.232,0.275,0.406,0.0,0.26,1.6,1.653,1.578,0.005,0.669,,,
normalized_eprna_rp25.pdb,16.591,4.747930008536239e-05,0.032,0.0,0.0,0.055,513.256,93.66,0.134,0.043,0.101,0.13,0.261,0.0,0.125,1.667,2.412,0.114,0.0,0.461,,,
normalized_isrna_rp25.pdb,18.002,0.0009065192595053,0.64,0.926,0.0,0.618,28.131,24.03,0.275,0.188,0.232,0.275,0.406,0.0,0.235,1.914,1.666,1.459,0.412,0.691,,,
normalized_3drna_rp25_1.pdb,24.369,0.6619399810080359,0.581,0.781,0.0,0.577,41.957,28.9,0.29,0.188,0.246,0.304,0.42,0.0,0.253,2.517,1.698,1.426,0.414,0.673,,,
normalized_3drna_rp25_5.pdb,24.864,0.7557217785831175,0.585,0.823,0.0,0.57,42.498,30.9,0.272,0.159,0.246,0.29,0.391,0.0,0.258,2.593,1.716,1.371,0.403,0.672,,,
normalized_vfold_rp25.pdb,25.124,0.7987493862598063,0.614,0.926,0.0,0.584,40.909,31.79,0.257,0.116,0.232,0.319,0.362,0.0,0.228,2.619,1.621,1.137,0.004,0.681,,,
normalized_3drna_rp25_2.pdb,25.138,0.8009863879060493,0.573,0.823,0.0,0.548,43.904,32.04,0.279,0.174,0.246,0.29,0.406,0.0,0.234,2.598,1.735,1.418,0.395,0.64,,,
normalized_3drna_rp25_4.pdb,25.462,0.8473731719777472,0.568,0.823,0.0,0.545,44.836,31.49,0.275,0.174,0.246,0.275,0.406,0.0,0.238,2.633,1.733,1.396,0.391,0.649,,,
normalized_3drna_rp25_3.pdb,25.622,0.8673252922805063,0.585,0.823,0.0,0.559,43.794,32.45,0.283,0.188,0.246,0.304,0.391,0.0,0.246,2.638,1.757,1.325,0.397,0.657,,,
normalized_rnacomposer_rp25.pdb,26.26,0.928989295951274,0.718,0.926,,0.704,36.576,23.28,0.268,0.174,0.232,0.304,0.362,0.0,0.224,2.713,1.477,1.36,0.409,0.703,,,
normalized_rnajp_rp25.pdb,45.037,1.0,0.475,0.535,0.0,0.54,94.856,28.68,0.214,0.101,0.174,0.261,0.319,0.0,0.191,4.529,1.865,0.736,0.008,0.568,,,
normalized_simrna_rp25.pdb,61.103,1.0,0.0,,,0.0,inf,56.58,0.094,0.058,0.072,0.101,0.145,0.0,0.071,5.941,1.948,0.068,0.0,0.554,,,
normalized_alphafold3_rp25_1.pdb,2.579,0.0,0.808,0.952,0.539,0.796,3.191,11.74,0.746,0.391,0.652,0.942,1.0,0.0,0.654,0.267,0.934,2.031,0.629,0.872,0.0,100.0,69.0
normalized_alphafold3_rp25_5.pdb,2.594,0.0,0.817,0.952,0.539,0.811,3.176,12.19,0.75,0.377,0.681,0.942,1.0,0.0,0.652,0.268,0.941,2.031,0.629,0.873,0.0,100.0,69.0
normalized_alphafold3_rp25_2.pdb,2.634,0.0,0.81,0.952,0.539,0.8,3.251,12.28,0.75,0.42,0.652,0.927,1.0,0.0,0.655,0.273,0.933,2.023,0.628,0.874,0.0,100.0,69.0
normalized_alphafold3_rp25_3.pdb,2.639,0.0,0.803,0.952,0.539,0.789,3.286,13.22,0.75,0.391,0.667,0.942,1.0,0.0,0.632,0.272,0.919,2.034,0.599,0.875,0.0,100.0,69.0
normalized_alphafold3_rp25_4.pdb,2.684,0.0,0.81,0.952,0.539,0.8,3.313,12.15,0.746,0.377,0.681,0.927,1.0,0.0,0.655,0.28,0.938,2.026,0.627,0.871,0.0,100.0,69.0
