,RMSD,P-VALUE,INF-ALL,INF-WC,INF-NWC,INF-STACK,DI,MCQ,GDT-TS,GDT-TS@1,GDT-TS@2,GDT-TS@4,GDT-TS@8,CLASH,TM-score,BARNABA-RMSD,BARNABA-eRMSD,BARNABA-eSCORE,lDDT,CAD,QS-score,LCS-TA-COVERAGE,LCS-TA-RESIDUES
normalized_rhofold_rp34.pdb,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.515,1.0,1.0,,,
normalized_isrna_rp34.pdb,12.956,3.26568144748407e-09,0.833,0.975,0.0,0.817,15.559,43.6,0.29,0.176,0.265,0.309,0.412,0.0,0.25,1.375,1.233,1.401,0.457,0.783,,,
normalized_3drna_rp34_3.pdb,13.89,6.3438120700976e-08,0.72,0.866,0.5,0.682,19.289,46.02,0.287,0.176,0.25,0.309,0.412,0.0,0.276,1.41,1.457,1.057,0.388,0.677,,,
normalized_rnacomposer_rp34.pdb,14.083,1.133314611601044e-07,0.833,1.0,0.5,0.783,16.913,45.97,0.283,0.103,0.25,0.338,0.441,0.0,0.241,1.516,1.102,1.129,0.523,0.784,,,
normalized_vfoldpipeline_rp34.pdb,15.651,8.34234662372424e-06,0.678,0.922,0.0,0.645,23.073,43.84,0.257,0.147,0.235,0.279,0.368,0.0,0.23,1.602,1.277,1.081,0.414,0.741,,,
normalized_trrosettarna_rp34_4.pdb,15.761,1.0968908068897942e-05,0.371,0.224,0.0,0.488,42.516,66.2,0.173,0.088,0.103,0.191,0.309,0.0,0.135,1.699,1.725,0.268,0.41,0.726,,,
normalized_trrosettarna_rp34_3.pdb,15.962,1.7938000277328836e-05,0.38,,0.0,0.524,41.996,65.68,0.18,0.088,0.118,0.191,0.324,0.0,0.129,1.711,1.734,0.291,0.408,0.739,,,
normalized_trrosettarna_rp34_5.pdb,16.464,5.830827568847896e-05,0.352,0.224,0.0,0.479,46.754,67.22,0.151,0.073,0.118,0.162,0.25,0.0,0.123,1.768,1.784,0.326,0.393,0.732,,,
normalized_trrosettarna_rp34_1.pdb,16.875,0.0001442903265203,0.659,0.866,0.0,0.623,25.613,51.05,0.309,0.162,0.265,0.338,0.471,0.0,0.256,1.804,1.369,1.147,0.508,0.776,,,
normalized_3drna_rp34_1.pdb,17.103,0.0002338293161363,0.595,0.71,0.0,0.584,28.747,46.42,0.268,0.162,0.25,0.309,0.353,0.0,0.249,1.779,1.686,0.807,0.324,0.627,,,
normalized_trrosettarna_rp34_2.pdb,17.496,0.000519119565474,0.769,0.922,0.289,0.743,22.761,49.79,0.335,0.176,0.265,0.368,0.529,0.0,0.262,1.886,1.245,1.325,0.529,0.804,,,
normalized_3drna_rp34_2.pdb,18.479,0.0031289505019032,0.661,0.777,0.25,0.655,27.947,52.66,0.265,0.162,0.25,0.279,0.368,0.0,0.241,2.012,1.71,0.873,0.327,0.635,,,
normalized_3drna_rp34_4.pdb,19.816,0.0232377254689784,0.719,0.866,0.354,0.681,27.544,50.38,0.239,0.147,0.221,0.265,0.324,0.0,0.216,2.03,1.43,0.887,0.291,0.672,,,
normalized_rnajp_rp34.pdb,20.653,0.0634776708077279,0.573,0.727,0.0,0.561,36.016,46.85,0.294,0.162,0.235,0.353,0.426,0.0,0.261,2.119,1.642,1.693,0.01,0.728,,,
normalized_3drna_rp34_5.pdb,21.296,0.1212602514495129,0.665,0.837,0.0,0.67,32.038,49.52,0.239,0.103,0.221,0.294,0.338,0.0,0.211,2.226,1.459,0.834,0.278,0.677,,,
normalized_eprna_rp34.pdb,21.44,0.1380487031583505,0.0,,0.0,,inf,94.83,0.107,0.059,0.073,0.132,0.162,0.0,0.119,2.142,2.113,0.039,0.0,0.51,,,
normalized_vfold_rp34.pdb,21.872,0.1979783113791485,0.56,0.727,0.0,0.541,39.088,48.01,0.265,0.118,0.25,0.294,0.397,0.0,0.228,2.335,1.759,1.083,0.003,0.711,,,
normalized_simrna_rp34.pdb,53.554,1.0,,,,,,59.98,0.11,0.073,0.103,0.118,0.147,0.0,0.085,5.151,1.758,0.038,0.0,0.609,,,
normalized_alphafold3_rp34_5.pdb,11.268,7.914779942552741e-12,0.811,0.975,0.354,0.78,13.886,45.91,0.327,0.162,0.294,0.353,0.5,0.0,0.283,1.221,1.245,1.767,0.542,0.793,0.0,35.294,24.0
normalized_alphafold3_rp34_4.pdb,11.971,1.0793038685008581e-10,0.788,0.95,0.354,0.753,15.195,45.71,0.357,0.162,0.309,0.397,0.559,0.0,0.293,1.257,1.258,1.734,0.551,0.795,0.0,35.294,24.0
normalized_alphafold3_rp34_1.pdb,12.267,3.1046565318604275e-10,0.786,0.927,0.289,0.766,15.6,45.48,0.338,0.162,0.294,0.382,0.515,0.0,0.297,1.327,1.293,1.741,0.569,0.796,0.0,35.294,24.0
normalized_alphafold3_rp34_2.pdb,13.004,3.828765082758423e-09,0.811,0.975,0.354,0.78,16.025,45.81,0.32,0.162,0.279,0.338,0.5,0.0,0.276,1.413,1.281,1.766,0.566,0.79,0.0,35.294,24.0
normalized_alphafold3_rp34_3.pdb,13.615,2.7191923546165956e-08,0.798,0.975,0.289,0.767,17.062,45.58,0.327,0.176,0.294,0.353,0.485,0.0,0.289,1.444,1.325,1.765,0.556,0.797,0.0,35.294,24.0
