,RMSD,P-VALUE,INF-ALL,INF-WC,INF-NWC,INF-STACK,DI,MCQ,GDT-TS,GDT-TS@1,GDT-TS@2,GDT-TS@4,GDT-TS@8,CLASH,TM-score,BARNABA-RMSD,BARNABA-eRMSD,BARNABA-eSCORE,lDDT,CAD,QS-score,LCS-TA-COVERAGE,LCS-TA-RESIDUES
normalized_simrna_rp11.pdb,4.154,0.0,0.785,0.977,,0.713,5.292,20.14,0.531,0.14,0.316,0.667,1.0,0.0,0.386,0.423,1.131,1.748,0.021,0.827,,,
normalized_isrna_rp11.pdb,4.297,0.0,0.862,0.956,,0.809,4.985,18.07,0.526,0.14,0.351,0.649,0.965,0.0,0.385,0.447,1.11,1.683,0.604,0.791,,,
normalized_vfoldpipeline_rp11.pdb,4.654,0.0,0.869,0.952,,0.835,5.358,15.21,0.61,0.316,0.474,0.719,0.93,0.0,0.473,0.448,0.946,2.37,0.751,0.847,,,
normalized_mcsym_rp11_5.pdb,4.659,0.0,0.832,0.977,,0.758,5.602,32.36,0.469,0.105,0.263,0.526,0.983,0.0,0.31,0.494,1.179,1.62,0.017,0.779,,,
normalized_mcsym_rp11_3.pdb,5.344,0.0,0.825,0.977,,0.758,6.478,31.99,0.474,0.123,0.246,0.597,0.93,0.0,0.302,0.537,1.164,1.516,0.021,0.795,,,
normalized_rhofold_rp11.pdb,5.985,5.551115123125783e-17,0.783,0.917,,0.696,7.645,43.61,0.443,0.123,0.246,0.614,0.789,0.0,0.349,0.625,0.978,1.514,0.604,0.822,,,
normalized_mcsym_rp11_1.pdb,6.305,2.775557561562891e-16,0.808,0.977,,0.731,7.803,28.35,0.412,0.14,0.228,0.439,0.842,0.0,0.275,0.642,1.039,1.533,0.009,0.785,,,
normalized_3drna_rp11_4.pdb,6.467,6.106226635438361e-16,0.835,0.956,,0.785,7.743,22.16,0.443,0.14,0.281,0.561,0.789,0.0,0.311,0.661,1.218,1.638,0.601,0.779,,,
normalized_mcsym_rp11_4.pdb,6.867,3.497202527569243e-15,0.787,0.927,,0.731,8.725,30.17,0.425,0.123,0.263,0.526,0.789,0.0,0.298,0.699,1.24,1.589,0.071,0.785,,,
normalized_mcsym_rp11_2.pdb,6.97,5.440092820663267e-15,0.821,0.977,,0.731,8.487,33.09,0.404,0.14,0.228,0.474,0.772,0.0,0.35,0.73,1.212,1.553,0.018,0.76,,,
normalized_trrosettarna_rp11_1.pdb,7.839,2.153277556260491e-13,0.624,0.845,,0.53,12.569,32.16,0.43,0.175,0.333,0.491,0.719,0.0,0.301,0.801,1.512,1.477,0.604,0.795,,,
normalized_trrosettarna_rp11_2.pdb,7.884,2.5884849819135525e-13,0.679,0.873,,0.611,11.618,25.62,0.43,0.158,0.333,0.491,0.737,0.0,0.307,0.795,1.386,1.545,0.616,0.799,,,
normalized_3drna_rp11_2.pdb,8.49,2.9166669079927487e-12,0.845,0.956,,0.789,10.043,21.34,0.456,0.158,0.263,0.579,0.825,0.0,0.263,0.879,1.17,1.574,0.584,0.787,,,
normalized_3drna_rp11_1.pdb,8.556,3.766875700250694e-12,0.812,0.956,,0.768,10.534,22.18,0.417,0.228,0.316,0.421,0.702,0.0,0.238,0.889,1.2,1.57,0.625,0.821,,,
normalized_vfold_rp11.pdb,9.019,2.1987911491549988e-11,0.833,0.952,,0.781,10.832,19.09,0.333,0.175,0.263,0.368,0.526,0.0,0.297,0.969,1.083,1.909,0.229,0.81,,,
normalized_3drna_rp11.pdb,9.076,2.7270241620414023e-11,0.826,0.977,,0.782,10.982,20.63,0.425,0.228,0.316,0.404,0.754,0.0,0.245,0.961,1.006,1.588,0.641,0.833,,,
normalized_3drna_rp11_5.pdb,9.824,4.05814937209925e-10,0.842,0.956,,0.785,11.67,26.24,0.325,0.158,0.193,0.333,0.614,0.0,0.24,1.022,1.234,1.623,0.57,0.785,,,
normalized_trrosettarna_rp11_5.pdb,11.868,2.767455219432336e-07,0.565,0.621,,0.628,20.996,36.29,0.351,0.14,0.351,0.386,0.526,0.0,0.283,1.296,1.659,0.995,0.55,0.755,,,
normalized_trrosettarna_rp11_3.pdb,11.974,3.748645150403185e-07,0.414,0.309,,0.586,28.94,54.63,0.197,0.105,0.123,0.21,0.351,0.0,0.12,1.359,1.891,0.471,0.533,0.751,,,
normalized_trrosettarna_rp11_4.pdb,12.058,4.7547375897627486e-07,0.39,,,0.565,30.902,52.6,0.197,0.088,0.14,0.21,0.351,0.0,0.108,1.343,1.853,0.374,0.497,0.732,,,
normalized_3drna_rp11_3.pdb,17.83,0.0450501828392433,0.814,0.956,,0.747,21.899,25.6,0.285,0.14,0.193,0.316,0.491,0.0,0.201,1.874,1.379,1.44,0.56,0.78,,,
normalized_eprna_rp11.pdb,22.84,0.8618208886962379,0.0,0.0,,0.0,inf,99.24,0.132,0.053,0.088,0.158,0.228,0.0,0.088,2.35,2.163,0.072,0.0,0.501,,,
normalized_ifoldrna_rp11_4.pdb,26.487,0.9990796009270388,0.248,0.0,,0.396,106.604,29.44,0.167,0.088,0.14,0.193,0.246,0.0,0.158,2.668,2.216,0.455,0.0,0.636,,,
normalized_ifoldrna_rp11_5.pdb,28.594,0.9999908641342076,0.223,0.0,,0.378,128.385,29.14,0.18,0.123,0.14,0.193,0.263,0.0,0.206,2.915,2.293,0.616,0.001,0.605,,,
normalized_ifoldrna_rp11_2.pdb,29.589,0.9999993441219808,0.2,0.0,,0.332,147.616,28.78,0.184,0.105,0.158,0.228,0.246,0.0,0.187,2.96,2.254,0.607,0.001,0.635,,,
normalized_ifoldrna_rp11_1.pdb,30.053,0.9999998263766086,0.224,0.0,,0.406,134.068,29.07,0.175,0.14,0.14,0.175,0.246,0.0,0.175,3.012,2.364,0.547,0.001,0.634,,,
normalized_ifoldrna_rp11_3.pdb,30.318,0.9999999209997174,0.144,0.0,,0.271,210.535,28.51,0.162,0.088,0.123,0.193,0.246,0.0,0.202,3.057,2.277,0.524,0.002,0.627,,,
normalized_rnajp_rp11.pdb,,,0.382,0.0,,0.541,,,0.21,0.123,0.158,0.228,0.333,0.0,0.189,,,0.689,0.02,0.059,,,
normalized_rnacomposer_rp11.pdb,,,0.295,0.0,,0.454,,,0.171,0.088,0.14,0.175,0.281,0.0,0.223,,,1.317,0.203,0.058,,,
