,RMSD,P-VALUE,INF-ALL,INF-WC,INF-NWC,INF-STACK,DI,MCQ,GDT-TS,GDT-TS@1,GDT-TS@2,GDT-TS@4,GDT-TS@8,CLASH,TM-score,BARNABA-RMSD,BARNABA-eRMSD,BARNABA-eSCORE,lDDT,CAD,QS-score,LCS-TA-COVERAGE,LCS-TA-RESIDUES
normalized_rhofold_rp32.pdb,2.283,0.0,0.784,0.832,0.0,0.818,2.913,45.02,0.427,0.146,0.271,0.354,0.938,0.0,0.483,0.241,1.059,0.904,0.662,0.012,,,
normalized_vfoldpipeline_rp32.pdb,6.183,2.6715296641555138e-12,0.816,0.968,0.0,0.818,7.576,21.01,0.312,0.125,0.208,0.312,0.604,0.0,0.349,0.628,1.299,1.066,0.548,0.013,,,
normalized_trrosettarna_rp32_2.pdb,6.313,4.429345779044525e-12,0.618,0.802,0.0,0.581,10.211,38.55,0.354,0.146,0.208,0.396,0.667,0.0,0.25,0.634,1.595,0.923,0.518,0.009,,,
normalized_trrosettarna_rp32_1.pdb,6.362,5.347944309619379e-12,0.688,0.839,0.0,0.679,9.243,31.44,0.365,0.167,0.229,0.375,0.688,0.0,0.276,0.618,1.455,1.014,0.542,0.011,,,
normalized_trrosettarna_rp32_3.pdb,6.427,6.881495373534108e-12,0.686,0.839,0.0,0.667,9.366,31.26,0.349,0.146,0.229,0.354,0.667,0.0,0.274,0.615,1.425,1.042,0.541,0.011,,,
normalized_rnacomposer_rp32.pdb,7.18,1.13148657110429e-10,0.803,0.91,0.0,0.81,8.942,25.45,0.323,0.125,0.188,0.333,0.646,0.0,0.238,0.722,1.279,0.842,0.554,0.012,,,
normalized_3drna_rp32_2.pdb,7.585,4.768414552103194e-10,0.747,0.901,,0.72,10.15,32.6,0.318,0.125,0.229,0.312,0.604,0.0,0.289,0.747,1.464,1.052,0.514,0.013,,,
normalized_3drna_rp32_5.pdb,7.66,6.168330846101353e-10,0.749,0.901,,0.73,10.223,32.86,0.328,0.125,0.229,0.354,0.604,0.0,0.272,0.78,1.371,1.043,0.528,0.011,,,
normalized_trrosettarna_rp32_5.pdb,8.926,3.8862004392292704e-08,0.442,0.53,0.0,0.47,20.216,41.61,0.24,0.104,0.125,0.271,0.458,0.0,0.234,0.954,1.791,0.606,0.473,0.012,,,
normalized_eprna_rp32.pdb,10.429,2.852667232711159e-06,0.0,,,0.0,inf,92.24,0.224,0.083,0.125,0.208,0.479,0.0,0.141,0.94,2.141,0.028,0.0,0.01,,,
normalized_trrosettarna_rp32_4.pdb,11.766,7.40277283008961e-05,0.379,0.0,0.0,0.515,31.085,63.41,0.224,0.104,0.146,0.229,0.417,0.0,0.12,1.304,1.883,0.257,0.42,0.013,,,
normalized_3drna_rp32_1.pdb,12.805,0.000646795403207,0.726,0.869,0.0,0.727,17.626,33.62,0.229,0.104,0.146,0.25,0.417,0.0,0.223,1.401,1.569,1.068,0.494,0.011,,,
