,RMSD,P-VALUE,INF-ALL,INF-WC,INF-NWC,INF-STACK,DI,MCQ,GDT-TS,GDT-TS@1,GDT-TS@2,GDT-TS@4,GDT-TS@8,CLASH,TM-score,BARNABA-RMSD,BARNABA-eRMSD,BARNABA-eSCORE,lDDT,CAD,QS-score,LCS-TA-COVERAGE,LCS-TA-RESIDUES
normalized_trrosettarna_rp18_1.pdb,2.414,0.0,0.547,0.695,0.144,0.553,4.41,28.63,0.852,0.507,0.901,1.0,1.0,0.0,0.811,0.187,1.412,1.453,0.66,0.818,,,
normalized_trrosettarna_rp18_2.pdb,2.525,0.0,0.689,0.873,0.0,0.666,3.664,34.39,0.845,0.451,0.93,1.0,1.0,0.0,0.797,0.203,1.155,1.757,0.657,0.826,,,
normalized_trrosettarna_rp18_4.pdb,2.608,0.0,0.555,0.7,0.204,0.531,4.701,35.71,0.835,0.451,0.887,1.0,1.0,0.0,0.782,0.207,1.454,1.188,0.627,0.818,,,
normalized_trrosettarna_rp18_3.pdb,2.962,0.0,0.429,0.721,0.136,0.374,6.904,36.54,0.838,0.451,0.901,1.0,1.0,0.0,0.796,0.207,1.662,1.129,0.63,0.81,,,
normalized_vfold_rp18.pdb,10.24,8.659739592076221e-15,0.552,0.588,0.0,0.598,18.547,26.71,0.296,0.155,0.211,0.282,0.535,0.0,0.283,1.008,1.963,1.617,0.0,0.623,,,
normalized_simrna_rp18.pdb,11.976,1.0073886169692514e-11,0.717,0.756,0.408,0.727,16.693,19.85,0.289,0.197,0.254,0.268,0.437,0.0,0.222,1.244,1.615,2.351,0.017,0.701,,,
normalized_trrosettarna_rp18_5.pdb,13.075,5.489993459839582e-10,0.336,0.2,0.0,0.472,38.867,61.68,0.236,0.085,0.155,0.268,0.437,0.0,0.197,1.438,1.888,0.375,0.526,0.775,,,
normalized_mcsym_rp18_3.pdb,13.495,2.3027475481995907e-09,0.538,0.588,0.0,0.548,25.104,33.1,0.285,0.155,0.225,0.31,0.451,0.0,0.225,1.329,1.881,2.448,0.039,0.616,,,
normalized_rhofold_rp18.pdb,13.865,7.768344023606488e-09,0.581,0.695,0.136,0.612,23.859,52.98,0.282,0.155,0.225,0.282,0.465,0.0,0.239,1.474,1.897,0.971,0.388,0.656,,,
normalized_3drna_rp18_3.pdb,15.932,3.286978997263379e-06,0.648,0.698,0.289,0.654,24.574,23.62,0.412,0.155,0.324,0.535,0.634,0.0,0.34,1.607,1.671,1.523,0.488,0.673,,,
