,RMSD,P-VALUE,INF-ALL,INF-WC,INF-NWC,INF-STACK,DI,MCQ,GDT-TS,GDT-TS@1,GDT-TS@2,GDT-TS@4,GDT-TS@8,CLASH,TM-score,BARNABA-RMSD,BARNABA-eRMSD,BARNABA-eSCORE,lDDT,CAD,QS-score,LCS-TA-COVERAGE,LCS-TA-RESIDUES
normalized_3drna_rp13_2.pdb,16.185,0.0013269495837506,0.735,0.688,0.577,0.765,22.017,31.68,0.417,0.217,0.333,0.5,0.617,0.0,0.309,1.624,1.602,1.163,0.423,0.539,,,
normalized_3drna_rp13.pdb,17.95,0.0214394898405723,0.555,0.378,0.0,0.672,32.331,35.74,0.221,0.117,0.183,0.25,0.333,0.0,0.182,1.869,1.895,0.817,0.306,0.485,,,
normalized_simrna_rp13.pdb,18.023,0.0236363967007284,0.676,0.624,0.0,0.737,26.667,22.49,0.346,0.133,0.233,0.433,0.583,0.0,0.235,1.825,1.722,1.745,0.017,0.536,,,
normalized_trrosettarna_rp13_2.pdb,18.126,0.0270160368547015,0.738,0.818,,0.727,24.572,25.63,0.633,0.4,0.65,0.733,0.75,0.0,0.548,1.859,1.394,1.101,0.525,0.584,,,
normalized_trrosettarna_rp13_3.pdb,18.143,0.0275820214097644,0.655,0.732,0.0,0.669,27.69,28.85,0.617,0.333,0.65,0.733,0.75,0.0,0.541,1.849,1.512,0.965,0.51,0.565,,,
normalized_trrosettarna_rp13_4.pdb,18.187,0.0291995795356109,0.655,0.69,0.516,0.668,27.758,29.12,0.625,0.383,0.633,0.733,0.75,0.0,0.533,1.846,1.485,0.954,0.517,0.583,,,
normalized_vfold_rp13.pdb,18.194,0.0294481174812233,0.442,0.333,0.0,0.548,41.173,31.64,0.283,0.167,0.25,0.317,0.4,0.0,0.225,1.883,2.123,1.197,0.002,0.458,,,
normalized_trrosettarna_rp13_1.pdb,18.219,0.0303942500852318,0.809,0.794,0.667,0.825,22.515,26.7,0.629,0.383,0.65,0.733,0.75,0.0,0.546,1.852,1.263,1.336,0.531,0.584,,,
normalized_trrosettarna_rp13_5.pdb,18.259,0.031945673324023,0.688,0.726,0.408,0.69,26.526,26.89,0.604,0.317,0.633,0.717,0.75,0.0,0.521,1.85,1.49,0.945,0.493,0.563,,,
normalized_rhofold_rp13.pdb,19.383,0.109665830970155,0.65,0.586,0.0,0.718,29.833,50.37,0.283,0.15,0.217,0.283,0.483,0.0,0.212,1.984,1.679,1.178,0.377,0.513,,,
