,RMSD,P-VALUE,INF-ALL,INF-WC,INF-NWC,INF-STACK,DI,MCQ,GDT-TS,GDT-TS@1,GDT-TS@2,GDT-TS@4,GDT-TS@8,CLASH,TM-score,BARNABA-RMSD,BARNABA-eRMSD,BARNABA-eSCORE,lDDT,CAD,QS-score,LCS-TA-COVERAGE,LCS-TA-RESIDUES
normalized_trrosettarna_rp29_1.pdb,1.45,0.0,0.745,0.756,,0.761,1.946,24.67,0.942,0.769,1.0,1.0,1.0,0.0,0.811,0.129,1.148,1.611,0.754,0.898,,,
normalized_trrosettarna_rp29_2.pdb,1.569,0.0,0.624,0.787,0.0,0.607,2.515,31.77,0.913,0.654,1.0,1.0,1.0,0.0,0.779,0.143,1.324,1.584,0.734,0.884,,,
normalized_trrosettarna_rp29_3.pdb,1.722,0.0,0.52,0.724,0.316,0.469,3.311,37.23,0.904,0.615,1.0,1.0,1.0,0.0,0.777,0.147,1.445,1.307,0.723,0.871,,,
normalized_trrosettarna_rp29_4.pdb,1.868,0.0,0.578,0.756,0.5,0.513,3.235,33.48,0.904,0.635,0.981,1.0,1.0,0.0,0.767,0.156,1.354,1.235,0.711,0.881,,,
normalized_trrosettarna_rp29_5.pdb,11.105,1.058780289830974e-06,0.39,0.436,0.0,0.456,28.442,58.54,0.26,0.115,0.192,0.308,0.423,0.0,0.165,1.278,1.779,0.303,0.576,0.822,,,
normalized_mcsym_rp29_1.pdb,13.453,0.0002937003488941,0.554,0.507,,0.589,24.302,31.12,0.337,0.173,0.231,0.404,0.538,0.0,0.23,1.427,1.773,1.679,0.021,0.701,,,
normalized_vfoldpipeline_rp29.pdb,13.903,0.000717433526405,0.527,0.525,,0.541,26.376,28.64,0.284,0.192,0.25,0.269,0.423,0.0,0.215,1.382,1.703,1.22,0.358,0.666,,,
normalized_eprna_rp29.pdb,14.357,0.0016679734719775,0.0,,0.0,0.0,inf,89.84,0.274,0.077,0.173,0.327,0.519,0.0,0.176,1.384,2.136,0.066,0.0,0.512,,,
normalized_vfold_rp29.pdb,14.856,0.0039305474462821,0.546,0.563,0.0,0.561,27.184,30.12,0.288,0.173,0.288,0.308,0.385,0.0,0.218,1.588,1.79,1.341,0.002,0.652,,,
normalized_isrna_rp29.pdb,15.191,0.0067270932941913,0.59,0.546,0.0,0.642,25.751,22.94,0.279,0.154,0.25,0.327,0.385,0.0,0.242,1.613,1.774,1.67,0.455,0.699,,,
normalized_3drna_rp29_3.pdb,15.814,0.0167611077805417,0.559,0.526,0.5,0.58,28.272,33.29,0.298,0.192,0.288,0.308,0.404,0.0,0.25,1.626,1.699,1.155,0.443,0.696,,,
