,RMSD,P-VALUE,INF-ALL,INF-WC,INF-NWC,INF-STACK,DI,MCQ,GDT-TS,GDT-TS@1,GDT-TS@2,GDT-TS@4,GDT-TS@8,CLASH,TM-score,BARNABA-RMSD,BARNABA-eRMSD,BARNABA-eSCORE,lDDT,CAD,QS-score,LCS-TA-COVERAGE,LCS-TA-RESIDUES
normalized_rhofold_rp06.pdb,11.354,0.0,0.358,0.286,0.0,0.474,31.673,60.03,0.082,0.032,0.051,0.095,0.152,0.0,0.415,1.129,2.236,1.032,0.329,0.087,,,
normalized_trrosettarna_rp06_2.pdb,18.34,0.0,0.626,0.729,0.102,0.636,29.306,33.09,0.081,0.044,0.063,0.101,0.114,0.0,0.428,1.881,1.458,2.583,0.53,0.094,,,
normalized_trrosettarna_rp06_1.pdb,19.216,0.0,0.602,0.705,0.072,0.63,31.922,39.43,0.081,0.044,0.063,0.095,0.12,0.0,0.38,1.965,1.589,2.228,0.505,0.092,,,
normalized_trrosettarna_rp06_3.pdb,19.443,0.0,0.547,0.619,0.061,0.597,35.53,39.32,0.082,0.044,0.07,0.095,0.12,0.0,0.383,2.001,1.614,2.122,0.495,0.091,,,
normalized_trrosettarna_rp06_4.pdb,19.443,0.0,0.512,0.566,0.0,0.572,37.987,35.81,0.081,0.044,0.063,0.095,0.12,0.0,0.377,1.998,1.701,1.782,0.482,0.091,,,
normalized_vfoldpipeline_rp06.pdb,21.548,0.0,0.638,0.638,0.333,0.67,33.796,23.7,0.073,0.051,0.057,0.076,0.108,0.0,0.335,2.199,1.715,3.477,0.447,0.094,,,
normalized_trrosettarna_rp06_5.pdb,24.708,2.09277040141842e-14,0.453,0.489,0.061,0.512,54.568,45.99,0.081,0.044,0.063,0.101,0.114,0.0,0.289,2.569,1.779,1.551,0.449,0.089,,,
normalized_simrna_rp06.pdb,25.831,2.089328710042082e-12,0.592,0.57,0.0,0.653,43.669,28.33,0.068,0.038,0.051,0.076,0.108,0.0,0.221,2.668,1.851,3.139,0.007,0.099,,,
normalized_3drna_rp06_5.pdb,26.555,3.317757180099079e-11,0.571,0.577,0.125,0.61,46.503,37.9,0.071,0.044,0.051,0.07,0.12,0.0,0.245,2.722,1.759,2.286,0.378,0.097,,,
normalized_3drna_rp06_3.pdb,27.281,4.5151665739595614e-10,0.598,0.646,0.177,0.615,45.621,38.34,0.065,0.032,0.051,0.07,0.108,0.0,0.287,2.781,1.715,2.358,0.388,0.095,,,
normalized_3drna_rp06_4.pdb,28.153,8.452054223173633e-09,0.567,0.6,0.102,0.6,49.638,38.89,0.07,0.032,0.051,0.076,0.12,0.0,0.273,2.87,1.723,2.3,0.384,0.096,,,
normalized_eprna_rp06.pdb,28.905,8.796723838244702e-08,0.0,0.0,0.0,0.0,inf,96.8,0.057,0.019,0.038,0.063,0.108,0.0,0.182,2.858,2.593,0.311,0.0,0.065,,,
normalized_3drna_rp06_2.pdb,29.561,5.905466785027791e-07,0.573,0.623,0.0,0.606,51.576,41.61,0.063,0.032,0.044,0.07,0.108,0.0,0.268,2.996,1.719,2.397,0.376,0.096,,,
normalized_isrna_rp06.pdb,29.998,1.955505223749654e-06,0.585,0.619,0.0,0.618,51.279,25.71,0.067,0.044,0.057,0.07,0.095,0.0,0.282,3.074,1.791,3.005,0.321,0.096,,,
normalized_3drna_rp06_1.pdb,30.498,7.174322349146056e-06,0.592,0.601,0.289,0.619,51.525,38.46,0.067,0.038,0.051,0.07,0.108,0.0,0.263,3.085,1.737,2.163,0.389,0.094,,,
normalized_3drna_rp06.pdb,30.585,8.938168806704727e-06,0.52,0.501,0.0,0.573,58.774,35.85,0.068,0.038,0.057,0.076,0.101,0.0,0.182,3.107,1.905,2.407,0.282,0.091,,,
normalized_rnacomposer_rp06.pdb,30.74,1.3108088652180603e-05,0.608,0.625,0.25,0.642,50.556,26.4,0.071,0.044,0.057,0.082,0.101,0.0,0.253,3.142,1.727,2.643,0.431,0.093,,,
normalized_ifoldrna_rp06_3.pdb,42.39,0.988338445349454,0.217,0.088,0.0,0.31,195.256,34.12,0.081,0.044,0.063,0.082,0.133,0.0,0.154,4.278,2.262,0.86,0.003,0.091,,,
normalized_ifoldrna_rp06_4.pdb,45.556,0.9999717939871492,0.229,0.032,0.0,0.35,198.755,32.43,0.067,0.032,0.057,0.076,0.101,0.0,0.144,4.624,2.311,1.187,0.005,0.098,,,
normalized_ifoldrna_rp06_2.pdb,46.189,0.9999940311857772,0.203,0.035,0.0,0.323,227.583,32.99,0.076,0.032,0.063,0.089,0.12,0.0,0.144,4.668,2.331,1.095,0.001,0.101,,,
normalized_ifoldrna_rp06_5.pdb,46.609,0.9999980076090094,0.223,0.029,0.0,0.356,209.109,33.0,0.085,0.038,0.076,0.108,0.12,0.0,0.141,4.692,2.367,1.311,0.004,0.1,,,
normalized_ifoldrna_rp06_1.pdb,47.144,0.9999995439362304,0.225,0.065,0.0,0.352,209.325,33.03,0.065,0.038,0.051,0.076,0.095,0.0,0.148,4.756,2.33,1.167,0.003,0.1,,,
normalized_rnajp_rp06.pdb,,,0.218,0.0,0.0,0.299,,,0.07,0.044,0.057,0.063,0.114,0.0,0.133,,,0.582,0.001,0.023,,,
normalized_alphafold3_rp06_5.pdb,2.891,0.0,0.87,0.899,0.722,0.876,3.324,17.54,0.097,0.057,0.082,0.101,0.146,0.0,0.851,0.309,0.785,3.628,0.765,0.099,0.0,55.063,87.0
normalized_alphafold3_rp06_4.pdb,3.054,0.0,0.863,0.919,0.693,0.862,3.538,17.61,0.1,0.063,0.076,0.108,0.152,0.0,0.835,0.32,0.803,3.633,0.781,0.099,0.0,55.063,87.0
normalized_alphafold3_rp06_3.pdb,3.062,0.0,0.856,0.908,0.678,0.857,3.576,18.11,0.095,0.057,0.082,0.101,0.139,0.0,0.842,0.325,0.797,3.627,0.75,0.099,0.0,55.063,87.0
normalized_alphafold3_rp06_2.pdb,3.128,0.0,0.875,0.919,0.754,0.873,3.575,17.83,0.095,0.057,0.076,0.101,0.146,0.0,0.829,0.336,0.785,3.619,0.779,0.099,0.0,55.063,87.0
normalized_alphafold3_rp06_1.pdb,3.159,0.0,0.87,0.908,0.667,0.88,3.63,17.39,0.093,0.057,0.082,0.101,0.133,0.0,0.832,0.335,0.793,3.64,0.805,0.099,0.0,55.063,87.0
