,RMSD,P-VALUE,INF-ALL,INF-WC,INF-NWC,INF-STACK,DI,MCQ,GDT-TS,GDT-TS@1,GDT-TS@2,GDT-TS@4,GDT-TS@8,CLASH,TM-score,BARNABA-RMSD,BARNABA-eRMSD,BARNABA-eSCORE,lDDT,CAD,QS-score,LCS-TA-COVERAGE,LCS-TA-RESIDUES
normalized_trrosettarna_rp04_1.pdb,2.192,0.0,0.668,0.782,0.577,0.633,3.284,30.69,0.819,0.452,0.849,0.976,1.0,0.0,0.876,0.208,1.256,2.254,0.741,0.857,,,
normalized_trrosettarna_rp04_2.pdb,2.463,0.0,0.711,0.811,0.258,0.708,3.467,31.17,0.814,0.444,0.825,0.984,1.0,0.0,0.873,0.211,1.186,2.205,0.73,0.865,,,
normalized_rhofold_rp04.pdb,3.596,0.0,0.822,0.891,0.471,0.807,4.375,46.59,0.559,0.119,0.389,0.73,1.0,0.0,0.684,0.385,0.975,2.266,0.624,0.815,,,
normalized_3drna_rp04_1.pdb,8.911,0.0,0.808,0.848,0.408,0.812,11.027,23.89,0.48,0.286,0.397,0.516,0.722,0.0,0.526,0.895,1.049,2.514,0.666,0.826,,,
normalized_3drna_rp04_5.pdb,10.216,0.0,0.795,0.837,0.471,0.794,12.844,25.06,0.432,0.294,0.397,0.484,0.556,0.0,0.481,1.043,1.195,2.53,0.623,0.783,,,
normalized_3drna_rp04_3.pdb,11.372,0.0,0.772,0.837,0.471,0.76,14.728,25.12,0.502,0.294,0.405,0.532,0.778,0.0,0.532,1.124,1.23,2.583,0.63,0.784,,,
normalized_3drna_rp04_4.pdb,15.062,0.0,0.791,0.885,0.408,0.772,19.031,26.79,0.464,0.286,0.373,0.444,0.754,0.0,0.453,1.505,1.198,2.527,0.61,0.782,,,
normalized_3drna_rp04_2.pdb,15.491,0.0,0.761,0.861,0.289,0.74,20.352,27.7,0.486,0.278,0.405,0.532,0.73,0.0,0.553,1.544,1.256,2.54,0.621,0.765,,,
normalized_trrosettarna_rp04_5.pdb,18.077,0.0,0.399,0.147,0.0,0.554,45.332,61.1,0.182,0.048,0.119,0.23,0.333,0.0,0.211,1.927,1.872,0.777,0.538,0.787,,,
normalized_trrosettarna_rp04_3.pdb,18.1,0.0,0.377,,0.085,0.523,47.979,65.44,0.181,0.056,0.111,0.23,0.325,0.0,0.214,1.917,1.825,0.81,0.564,0.803,,,
normalized_trrosettarna_rp04_4.pdb,18.105,0.0,0.314,0.104,0.0,0.455,57.709,62.28,0.184,0.048,0.119,0.222,0.349,0.0,0.208,1.915,1.835,0.839,0.566,0.809,,,
normalized_rnajp_rp04.pdb,21.134,1.0346168366481834e-12,0.775,0.843,0.289,0.765,27.272,23.21,0.266,0.111,0.214,0.318,0.421,0.0,0.292,2.207,1.382,3.501,0.211,0.705,,,
normalized_simrna_rp04.pdb,21.525,4.797606756312689e-12,0.74,0.818,0.0,0.729,29.077,24.33,0.26,0.111,0.175,0.325,0.429,0.0,0.328,2.253,1.567,2.999,0.017,0.708,,,
normalized_vfold_rp04.pdb,22.088,4.023370525629843e-11,0.71,0.87,0.0,0.678,31.11,27.88,0.298,0.111,0.23,0.373,0.476,0.0,0.359,2.279,1.512,2.248,0.007,0.702,,,
normalized_vfoldpipeline_rp04.pdb,22.204,6.171874122884445e-11,0.784,0.845,0.408,0.776,28.316,21.26,0.29,0.127,0.27,0.349,0.413,0.0,0.326,2.314,1.396,2.925,0.392,0.711,,,
normalized_eprna_rp04.pdb,22.371,1.1340256511616076e-10,0.0,,0.0,0.0,inf,99.64,0.111,0.032,0.056,0.103,0.254,0.0,0.184,2.225,2.436,0.189,0.0,0.46,,,
normalized_3drna_rp04.pdb,23.041,1.1865745608297116e-09,0.713,0.746,0.0,0.735,32.309,31.3,0.21,0.087,0.167,0.238,0.349,0.0,0.302,2.387,1.547,2.358,0.435,0.712,,,
normalized_isrna_rp04.pdb,23.661,9.249819077350452e-09,0.758,0.91,,0.712,31.198,21.56,0.286,0.135,0.238,0.333,0.436,0.0,0.371,2.418,1.301,2.72,0.456,0.704,,,
normalized_rnacomposer_rp04.pdb,23.811,1.4922542257433946e-08,0.802,0.91,0.463,0.776,29.678,19.51,0.306,0.135,0.262,0.381,0.444,0.0,0.323,2.495,1.229,2.345,0.563,0.757,,,
normalized_mcsym_rp04.pdb,25.853,5.223595196446329e-06,0.744,0.877,0.0,0.721,34.764,37.52,0.316,0.151,0.309,0.373,0.429,0.0,0.351,2.651,1.479,2.74,0.003,0.714,,,
normalized_ifoldrna_rp04_5.pdb,50.729,1.0,0.394,0.17,0.129,0.522,128.715,29.82,0.117,0.056,0.103,0.151,0.159,0.0,0.141,5.105,2.193,0.873,0.005,0.6,,,
normalized_ifoldrna_rp04_3.pdb,53.94,1.0,0.373,0.178,0.0,0.491,144.75,29.0,0.109,0.056,0.095,0.127,0.159,0.0,0.15,5.436,2.192,0.812,0.001,0.581,,,
normalized_ifoldrna_rp04_4.pdb,54.095,1.0,0.339,0.076,0.0,0.488,159.654,29.34,0.097,0.048,0.064,0.127,0.151,0.0,0.122,5.466,2.154,0.831,0.005,0.583,,,
normalized_ifoldrna_rp04_2.pdb,54.187,1.0,0.353,0.089,0.118,0.512,153.342,29.25,0.103,0.048,0.079,0.127,0.159,0.0,0.151,5.468,2.193,0.842,0.004,0.582,,,
