,RMSD,P-VALUE,INF-ALL,INF-WC,INF-NWC,INF-STACK,DI,MCQ,GDT-TS,GDT-TS@1,GDT-TS@2,GDT-TS@4,GDT-TS@8,CLASH,TM-score,BARNABA-RMSD,BARNABA-eRMSD,BARNABA-eSCORE,lDDT,CAD,QS-score,LCS-TA-COVERAGE,LCS-TA-RESIDUES
normalized_trrosettarna_rp12_1.pdb,2.601,0.0,0.562,0.737,0.12,0.544,4.632,31.21,0.094,0.051,0.068,0.103,0.154,0.0,0.876,0.234,1.363,2.066,0.708,0.07,,,
normalized_trrosettarna_rp12_2.pdb,2.613,0.0,0.631,0.717,0.267,0.638,4.139,39.27,0.1,0.051,0.086,0.103,0.162,0.0,0.863,0.249,1.376,1.98,0.687,0.066,,,
normalized_rhofold_rp12.pdb,4.58,0.0,0.667,0.758,0.0,0.667,6.862,48.48,0.09,0.034,0.068,0.103,0.154,0.0,0.605,0.476,1.261,1.807,0.574,0.068,,,
normalized_trrosettarna_rp12_3.pdb,19.362,2.223776718324189e-13,0.386,0.226,0.0,0.526,50.172,61.13,0.086,0.043,0.06,0.094,0.145,0.0,0.227,2.017,1.799,0.762,0.549,0.067,,,
normalized_trrosettarna_rp12_5.pdb,19.381,2.4080737404119645e-13,0.386,0.113,0.0,0.535,50.19,66.92,0.081,0.043,0.06,0.086,0.137,0.0,0.212,2.027,1.851,0.665,0.538,0.068,,,
normalized_trrosettarna_rp12_4.pdb,19.424,2.865485626557529e-13,0.402,,0.0,0.58,48.281,62.51,0.086,0.043,0.06,0.094,0.145,0.0,0.227,2.01,1.772,0.751,0.549,0.066,,,
normalized_3drna_rp12_3.pdb,24.642,8.246309414150499e-06,0.483,0.37,0.0,0.558,51.059,39.47,0.09,0.06,0.086,0.094,0.12,0.0,0.219,2.489,1.95,2.35,0.336,0.062,,,
normalized_vfold_rp12.pdb,24.924,1.656496758334347e-05,0.407,0.546,0.0,0.411,61.263,35.36,0.098,0.06,0.094,0.111,0.128,0.0,0.256,2.558,2.166,1.732,0.001,0.052,,,
normalized_rnacomposer_rp12.pdb,25.771,0.0001165345024322,0.495,0.396,0.0,0.571,52.076,29.76,0.088,0.051,0.077,0.086,0.137,0.0,0.225,2.609,1.965,2.335,0.35,0.063,,,
normalized_rnajp_rp12.pdb,26.359,0.0003989265503123,0.566,0.507,0.0,0.614,46.557,26.59,0.092,0.051,0.077,0.103,0.137,0.0,0.209,2.668,1.877,3.417,0.058,0.063,,,
normalized_3drna_rp12_4.pdb,28.538,0.0160412855858005,0.495,0.431,,0.541,57.619,38.2,0.094,0.068,0.086,0.103,0.12,0.0,0.196,2.875,1.874,2.41,0.329,0.059,,,
normalized_3drna_rp12_5.pdb,29.174,0.0367240445069324,0.508,0.416,0.0,0.571,57.376,44.88,0.092,0.051,0.086,0.103,0.128,0.0,0.196,2.935,1.905,2.261,0.325,0.062,,,
normalized_eprna_rp12.pdb,29.274,0.041438934167702,0.0,0.0,0.0,0.0,inf,95.12,0.06,0.026,0.034,0.068,0.111,0.0,0.156,2.915,2.547,0.202,0.0,0.038,,,
normalized_3drna_rp12_1.pdb,29.436,0.0500534144246628,0.505,0.425,0.0,0.567,58.292,37.09,0.094,0.06,0.086,0.094,0.137,0.0,0.254,2.984,1.941,2.422,0.34,0.065,,,
normalized_3drna_rp12_2.pdb,29.474,0.0522874003759561,0.513,0.401,0.0,0.588,57.464,42.17,0.092,0.06,0.086,0.103,0.12,0.0,0.236,3.024,1.888,2.489,0.339,0.058,,,
normalized_3drna_rp12.pdb,29.499,0.0537850826423886,0.54,0.507,0.0,0.582,54.616,36.38,0.086,0.051,0.068,0.103,0.12,0.0,0.196,3.011,1.828,2.691,0.377,0.062,,,
normalized_isrna_rp12.pdb,45.919,0.9999999999999712,0.526,0.403,0.0,0.609,87.356,25.21,0.1,0.06,0.077,0.12,0.145,0.0,0.224,4.622,1.925,2.815,0.326,0.063,,,
normalized_ifoldrna_rp12_4.pdb,46.537,0.999999999999998,0.259,0.0,0.0,0.404,179.589,29.4,0.088,0.043,0.068,0.111,0.128,0.0,0.132,4.773,2.347,0.825,0.001,0.065,,,
normalized_ifoldrna_rp12_3.pdb,48.272,1.0,0.25,0.0,0.0,0.41,193.188,31.55,0.086,0.043,0.068,0.094,0.137,0.0,0.141,4.935,2.349,0.938,0.003,0.064,,,
normalized_vfoldpipeline_rp12.pdb,48.283,1.0,0.469,0.424,0.0,0.517,102.937,35.53,0.077,0.051,0.068,0.077,0.111,0.0,0.166,4.928,1.91,1.902,0.258,0.056,,,
normalized_ifoldrna_rp12_2.pdb,48.309,1.0,0.256,0.0,0.0,0.391,188.96,33.06,0.077,0.043,0.06,0.086,0.12,0.0,0.139,4.937,2.298,0.791,0.004,0.062,,,
normalized_ifoldrna_rp12_5.pdb,49.608,1.0,0.217,0.0,0.0,0.36,228.679,31.29,0.09,0.043,0.06,0.111,0.145,0.0,0.155,5.017,2.375,0.702,0.004,0.063,,,
normalized_ifoldrna_rp12_1.pdb,49.783,1.0,0.224,0.0,0.0,0.366,222.45,30.35,0.096,0.043,0.077,0.103,0.162,0.0,0.118,5.043,2.246,0.733,0.005,0.066,,,
normalized_simrna_rp12.pdb,102.436,1.0,0.0,0.0,0.0,,inf,49.09,0.066,0.043,0.051,0.068,0.103,0.0,0.069,10.063,1.872,0.069,0.0,0.069,,,
normalized_alphafold3_rp12_2.pdb,3.139,0.0,0.856,0.974,0.57,0.835,3.666,17.37,0.094,0.051,0.068,0.103,0.154,0.0,0.779,0.309,0.837,3.639,0.758,0.069,0.0,72.65,85.0
normalized_alphafold3_rp12_4.pdb,3.158,0.0,0.859,0.974,0.598,0.835,3.674,17.54,0.098,0.051,0.077,0.103,0.162,0.0,0.787,0.31,0.848,3.646,0.758,0.07,0.0,72.65,85.0
normalized_alphafold3_rp12_5.pdb,3.172,0.0,0.855,0.974,0.57,0.833,3.709,17.54,0.094,0.051,0.068,0.103,0.154,0.0,0.777,0.312,0.844,3.655,0.759,0.07,0.0,72.65,85.0
normalized_alphafold3_rp12_3.pdb,3.181,0.0,0.859,0.974,0.57,0.84,3.702,17.35,0.094,0.051,0.068,0.103,0.154,0.0,0.785,0.311,0.841,3.663,0.763,0.069,0.0,72.65,85.0
normalized_alphafold3_rp12_1.pdb,3.228,0.0,0.858,0.974,0.598,0.833,3.762,17.4,0.094,0.051,0.068,0.103,0.154,0.0,0.778,0.317,0.846,3.636,0.76,0.07,0.0,72.65,85.0
