,RMSD,P-VALUE,INF-ALL,INF-WC,INF-NWC,INF-STACK,DI,MCQ,GDT-TS,GDT-TS@1,GDT-TS@2,GDT-TS@4,GDT-TS@8,CLASH,TM-score,BARNABA-RMSD,BARNABA-eRMSD,BARNABA-eSCORE,lDDT,CAD,QS-score,LCS-TA-COVERAGE,LCS-TA-RESIDUES
normalized_trrosettarna_rp21_1.pdb,1.92,1.6653345369377348e-16,0.715,0.877,0.447,0.734,2.686,33.29,0.817,0.415,0.854,1.0,1.0,0.0,0.539,0.182,1.222,0.738,0.684,0.819,,,
normalized_trrosettarna_rp21_3.pdb,2.229,6.106226635438361e-16,0.483,0.686,0.158,0.487,4.614,40.39,0.756,0.268,0.756,1.0,1.0,0.0,0.459,0.21,1.603,0.495,0.619,0.804,,,
normalized_trrosettarna_rp21_2.pdb,2.384,1.2212453270876722e-15,0.498,0.679,0.12,0.557,4.787,36.27,0.799,0.366,0.829,1.0,1.0,0.0,0.498,0.225,1.556,0.557,0.627,0.803,,,
normalized_rhofold_rp21.pdb,4.16,2.076783189863818e-12,0.64,0.881,0.365,0.599,6.498,60.5,0.61,0.195,0.488,0.78,0.976,0.0,0.298,0.44,1.549,0.486,0.494,0.676,,,
normalized_simrna_rp21.pdb,5.159,9.033818137993419e-11,0.616,0.815,0.0,0.667,8.377,31.47,0.549,0.195,0.39,0.658,0.951,0.0,0.314,0.522,1.986,0.878,0.024,0.689,,,
normalized_3drna_rp21_1.pdb,5.31,1.5546453013826067e-10,0.63,0.614,0.645,0.634,8.429,27.07,0.726,0.585,0.61,0.707,1.0,0.0,0.55,0.496,1.724,0.752,0.505,0.68,,,
normalized_3drna_rp21_5.pdb,6.481,8.387210426175074e-09,0.575,0.647,0.316,0.613,11.27,29.54,0.658,0.463,0.585,0.756,0.829,0.0,0.482,0.626,1.704,0.63,0.446,0.696,,,
normalized_3drna_rp21_2.pdb,7.256,9.339228151938884e-08,0.513,0.614,0.258,0.543,14.147,32.19,0.64,0.463,0.634,0.683,0.78,0.0,0.472,0.782,2.027,0.68,0.44,0.605,,,
normalized_trrosettarna_rp21_5.pdb,11.391,0.0017807722717554,0.224,0.0,0.0,0.371,50.943,52.53,0.287,0.146,0.195,0.342,0.463,0.0,0.118,1.282,2.113,0.2,0.504,0.689,,,
normalized_trrosettarna_rp21_4.pdb,11.403,0.001818022575369,0.257,0.277,0.0,0.361,44.339,55.55,0.281,0.122,0.22,0.317,0.463,0.0,0.136,1.286,2.042,0.244,0.523,0.762,,,
