,RMSD,P-VALUE,INF-ALL,INF-WC,INF-NWC,INF-STACK,DI,MCQ,GDT-TS,GDT-TS@1,GDT-TS@2,GDT-TS@4,GDT-TS@8,CLASH,TM-score,BARNABA-RMSD,BARNABA-eRMSD,BARNABA-eSCORE,lDDT,CAD,QS-score,LCS-TA-COVERAGE,LCS-TA-RESIDUES
normalized_trrosettarna_rp08_3.pdb,2.14,0.0,0.624,0.751,0.144,0.63,3.431,29.06,0.797,0.333,0.854,1.0,1.0,0.0,0.842,0.188,1.395,1.847,0.692,0.839,,,
normalized_trrosettarna_rp08_1.pdb,2.177,0.0,0.608,0.794,0.136,0.588,3.579,25.38,0.797,0.344,0.844,1.0,1.0,0.0,0.843,0.182,1.408,2.093,0.698,0.841,,,
normalized_trrosettarna_rp08_2.pdb,2.243,0.0,0.642,0.813,0.433,0.597,3.492,28.01,0.792,0.333,0.833,1.0,1.0,0.0,0.838,0.188,1.213,2.095,0.697,0.842,,,
normalized_trrosettarna_rp08_4.pdb,2.324,0.0,0.515,0.733,0.136,0.476,4.512,34.38,0.799,0.365,0.833,1.0,1.0,0.0,0.838,0.198,1.554,1.793,0.664,0.827,,,
normalized_vfoldpipeline_rp08.pdb,16.759,8.193112854826268e-12,0.607,0.811,0.0,0.57,27.596,27.44,0.227,0.094,0.146,0.281,0.385,0.0,0.284,1.756,1.644,1.607,0.327,0.649,,,
normalized_3drna_rp08.pdb,17.689,2.5053442653799607e-10,0.611,0.624,,0.63,28.956,30.98,0.227,0.125,0.156,0.271,0.354,0.0,0.275,1.836,1.614,2.063,0.432,0.684,,,
normalized_mcsym_rp08.pdb,18.178,1.365723312218847e-09,0.612,0.667,0.0,0.616,29.725,32.91,0.203,0.115,0.146,0.208,0.344,0.0,0.182,1.885,1.674,2.684,0.016,0.664,,,
normalized_vfold_rp08.pdb,18.418,3.058117592491527e-09,0.567,0.635,0.0,0.604,32.466,29.04,0.195,0.115,0.146,0.208,0.312,0.0,0.189,1.974,1.779,1.943,0.001,0.653,,,
normalized_simrna_rp08.pdb,19.48,8.781665461476963e-08,0.711,0.913,0.167,0.662,27.413,21.28,0.224,0.115,0.167,0.26,0.354,0.0,0.237,2.044,1.452,2.647,0.017,0.698,,,
normalized_trrosettarna_rp08_5.pdb,20.05,4.624965348476451e-07,0.392,0.177,0.0,0.548,51.084,62.88,0.188,0.073,0.125,0.219,0.333,0.0,0.171,2.087,1.881,0.5,0.531,0.779,,,
normalized_rhofold_rp08.pdb,20.099,5.311733716206746e-07,0.411,0.277,0.218,0.502,48.944,54.31,0.169,0.104,0.135,0.167,0.271,0.0,0.219,2.097,2.134,1.017,0.312,0.609,,,
