,RMSD,P-VALUE,INF-ALL,INF-WC,INF-NWC,INF-STACK,DI,MCQ,GDT-TS,GDT-TS@1,GDT-TS@2,GDT-TS@4,GDT-TS@8,CLASH,TM-score,BARNABA-RMSD,BARNABA-eRMSD,BARNABA-eSCORE,lDDT,CAD,QS-score,LCS-TA-COVERAGE,LCS-TA-RESIDUES
normalized_vfoldpipeline_rp23.pdb,1.137,9.992007221626409e-16,0.935,1.0,0.926,0.921,1.217,18.94,0.96,0.838,1.0,1.0,1.0,0.0,0.724,0.115,0.399,0.85,0.881,0.918,,,
normalized_trrosettarna_rp23_2.pdb,2.429,2.570166302007238e-13,0.465,0.75,0.0,0.529,5.22,35.17,0.858,0.46,0.973,1.0,1.0,0.0,0.5,0.194,1.719,0.459,0.625,0.754,,,
normalized_trrosettarna_rp23_1.pdb,2.555,4.2876813211023546e-13,0.462,0.668,0.085,0.612,5.531,35.26,0.824,0.405,0.892,1.0,1.0,0.0,0.461,0.22,1.74,0.44,0.599,0.755,,,
normalized_trrosettarna_rp23_3.pdb,2.894,1.6628365351323282e-12,0.512,0.632,0.189,0.594,5.657,38.07,0.831,0.46,0.865,1.0,1.0,0.0,0.481,0.234,1.671,0.335,0.597,0.73,,,
normalized_rhofold_rp23.pdb,4.049,1.2937789728439952e-10,0.592,0.935,0.283,0.632,6.837,66.71,0.635,0.297,0.46,0.784,1.0,0.0,0.284,0.392,1.661,0.352,0.49,0.668,,,
normalized_3drna_rp23_4.pdb,10.338,0.0023418776347369,0.458,0.802,0.0,0.49,22.59,42.69,0.365,0.189,0.297,0.432,0.54,0.0,0.22,1.003,2.127,0.426,0.336,0.514,,,
normalized_mcsym_rp23_2.pdb,10.389,0.0025605317472494,0.522,0.639,0.0,0.634,19.913,37.55,0.446,0.27,0.432,0.486,0.595,0.0,0.284,1.066,2.121,0.852,0.009,0.525,,,
normalized_mcsym_rp23_1.pdb,10.634,0.0038683889012856,0.507,0.707,0.0,0.596,20.992,41.48,0.453,0.324,0.432,0.486,0.568,0.0,0.288,1.054,2.079,0.635,0.007,0.534,,,
normalized_3drna_rp23_1.pdb,11.202,0.0094428414046286,0.549,0.866,,0.593,20.39,33.82,0.405,0.216,0.351,0.486,0.568,0.0,0.263,1.044,1.891,0.469,0.355,0.525,,,
normalized_3drna_rp23_5.pdb,11.457,0.0136903819265084,0.492,0.866,0.0,0.527,23.292,41.43,0.405,0.189,0.324,0.46,0.649,0.0,0.225,1.16,2.042,0.396,0.349,0.509,,,
normalized_mcsym_rp23_5.pdb,11.483,0.0142041286455464,0.49,0.64,0.0,0.579,23.456,44.35,0.412,0.243,0.351,0.486,0.568,0.0,0.237,1.167,2.126,0.7,0.002,0.514,,,
normalized_trrosettarna_rp23_4.pdb,11.591,0.0165143476911627,0.322,,0.0,0.527,36.026,60.25,0.297,0.135,0.216,0.351,0.486,0.0,0.135,1.32,2.096,0.156,0.521,0.705,,,
normalized_trrosettarna_rp23_5.pdb,11.614,0.0170507740475246,0.324,0.0,0.0,0.58,35.805,61.9,0.29,0.135,0.216,0.324,0.486,0.0,0.141,1.298,2.05,0.169,0.504,0.695,,,
normalized_mcsym_rp23_3.pdb,11.624,0.0172765631882445,0.484,0.746,,0.522,24.038,42.51,0.365,0.162,0.297,0.432,0.568,0.0,0.191,1.191,2.151,0.723,0.002,0.519,,,
normalized_3drna_rp23_3.pdb,11.63,0.0174342213962482,0.482,0.866,0.0,0.51,24.152,50.44,0.405,0.189,0.351,0.486,0.595,0.0,0.237,1.158,2.004,0.383,0.346,0.518,,,
normalized_mcsym_rp23_4.pdb,11.835,0.0229591703912364,0.466,0.612,0.0,0.55,25.384,44.66,0.419,0.243,0.351,0.486,0.595,0.0,0.252,1.19,2.148,0.626,0.03,0.508,,,
normalized_rnajp_rp23.pdb,11.862,0.0237924110741661,0.5,0.639,0.0,0.604,23.704,28.76,0.466,0.27,0.46,0.54,0.595,0.0,0.265,1.205,2.047,0.808,0.068,0.515,,,
normalized_vfold_rp23.pdb,11.887,0.0245737924253766,0.446,0.802,0.0,0.456,26.663,37.67,0.432,0.243,0.405,0.486,0.595,0.0,0.237,1.16,1.984,0.412,0.019,0.514,,,
normalized_3drna_rp23_2.pdb,12.617,0.0591696399319094,0.498,0.707,0.0,0.572,25.313,45.18,0.405,0.243,0.405,0.46,0.513,0.0,0.239,1.353,1.933,0.451,0.381,0.526,,,
normalized_isrna_rp23.pdb,13.332,0.1220810246458428,0.565,0.866,,0.634,23.588,27.27,0.358,0.189,0.351,0.405,0.486,0.0,0.229,1.385,1.803,0.49,0.339,0.501,,,
normalized_eprna_rp23.pdb,14.745,0.352181539019804,0.0,,0.0,0.0,inf,89.09,0.23,0.081,0.135,0.27,0.432,0.0,0.085,1.449,2.156,0.013,0.0,0.394,,,
normalized_rnacomposer_rp23.pdb,14.801,0.3636672337105445,0.511,0.866,,0.535,28.978,28.35,0.392,0.297,0.351,0.432,0.486,0.0,0.263,1.526,1.867,0.412,0.329,0.488,,,
normalized_simrna_rp23.pdb,30.404,1.0,,,,,,45.91,0.169,0.108,0.135,0.189,0.243,0.0,0.083,2.841,2.022,0.009,0.0,0.445,,,
normalized_alphafold3_rp23_1.pdb,1.692,1.1657341758564144e-14,0.765,1.0,0.401,0.841,2.211,16.63,0.912,0.703,0.946,1.0,1.0,0.0,0.632,0.144,1.097,0.717,0.748,0.872,0.0,100.0,37.0
